keys_team,poll_points,top25_votes,ballots_seen,best_ballot_rank
Oregon,154,8,42,2
Oklahoma,143,19,42,14
Maryland,138,16,42,7
Michigan,126,10,42,5
Penn State,119,16,42,3
NC State,76,7,42,10
Florida State,74,9,42,6
Louisville,68,17,42,16
Syracuse,64,6,42,9
Arizona State,60,3,42,2
Kentucky,59,7,42,7
Minnesota,58,4,42,6
New Mexico,53,11,42,14
Georgia State,50,3,42,6
Clemson,47,4,42,9
Auburn,46,6,42,16
Illinois,40,3,42,9
Cincinnati,37,6,42,7
Colorado State,35,4,42,12
Navy,25,1,42,1
Wake Forest,23,1,42,3
Arkansas,22,3,42,15
UCLA,20,5,42,12
Boise State,20,1,42,6
UNLV,19,2,42,11
Colorado,18,2,42,17
Washington,16,4,42,17
Iowa,16,3,42,19
West Virginia,15,1,42,11
App State,14,2,42,16
Duke,14,2,42,13
Rice,13,1,42,13
North Carolina,11,2,42,17
Vanderbilt,10,1,42,16
Texas Tech,9,3,42,19
Georgia Tech,8,1,42,18
Liberty,6,1,42,20
Stanford,6,1,42,20
Kansas,3,1,42,23
Massachusetts,3,1,42,23
Wisconsin,2,1,42,24
Arizona,1,1,42,25
Pittsburgh,1,1,42,25
UCF,1,1,42,25
