poll_objective,keys_team,ballot_model,power_rating_vs_average,ballot_rank,poll_points,top25_vote,first_place_vote,model_id,model_level,model_family,objective,feature_config,fingerprint,checkpoint_sha256,training_end_season,selected_feature_count,calibration_status,calibrator_sha256
all,Georgia,scientific_f0_m1,18.506113507252216,1,25,True,True,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Texas,scientific_f0_m1,17.653642985903897,2,24,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Oregon,scientific_f0_m1,17.614936216285923,3,23,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Alabama,scientific_f0_m1,17.11727774976906,4,22,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Ohio State,scientific_f0_m1,16.690581694218498,5,21,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Notre Dame,scientific_f0_m1,16.17264825313984,6,20,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Texas A&M,scientific_f0_m1,15.249676115701629,7,19,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,LSU,scientific_f0_m1,15.192537551027474,8,18,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,USC,scientific_f0_m1,13.682973535926337,9,17,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Florida,scientific_f0_m1,13.317563198937574,10,16,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Michigan,scientific_f0_m1,13.269179736915095,11,15,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Miami,scientific_f0_m1,13.081175427342064,12,14,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Tennessee,scientific_f0_m1,13.079332247836444,13,13,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Ole Miss,scientific_f0_m1,13.071037940061164,14,12,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,South Carolina,scientific_f0_m1,12.018121647476883,15,11,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Clemson,scientific_f0_m1,12.01720005772408,16,10,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Oklahoma,scientific_f0_m1,11.47760925745441,17,9,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Florida State,scientific_f0_m1,10.597369682210717,18,8,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Auburn,scientific_f0_m1,10.42008501610609,19,7,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Missouri,scientific_f0_m1,9.506328776195968,20,6,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Mississippi State,scientific_f0_m1,9.329844338533045,21,5,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Nebraska,scientific_f0_m1,8.542806689634165,22,4,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Kentucky,scientific_f0_m1,8.5059430995218,23,3,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Washington,scientific_f0_m1,8.090306121004945,24,2,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,UCLA,scientific_f0_m1,7.943773350308317,25,1,True,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Penn State,scientific_f0_m1,7.924880760375728,26,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Virginia Tech,scientific_f0_m1,7.698169681184718,27,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,North Carolina,scientific_f0_m1,7.6414919113869635,28,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Texas Tech,scientific_f0_m1,7.6414919113869635,29,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Wisconsin,scientific_f0_m1,7.631815218982467,30,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,SMU,scientific_f0_m1,7.485282448285839,31,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,NC State,scientific_f0_m1,7.146137419252128,32,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,California,scientific_f0_m1,6.905602493768979,33,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Georgia Tech,scientific_f0_m1,6.893161032106058,34,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Syracuse,scientific_f0_m1,6.614840926757744,35,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Arkansas,scientific_f0_m1,6.608850593364485,36,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Louisville,scientific_f0_m1,6.354952616465607,37,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Stanford,scientific_f0_m1,6.247926843828656,38,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Indiana,scientific_f0_m1,6.137918229679086,39,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Colorado,scientific_f0_m1,5.970188894667849,40,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,TCU,scientific_f0_m1,5.931942919926275,41,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Minnesota,scientific_f0_m1,5.839783944645375,42,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Vanderbilt,scientific_f0_m1,5.775272661948747,43,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Baylor,scientific_f0_m1,5.585885967746497,44,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Iowa,scientific_f0_m1,5.560542249544252,45,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Arizona State,scientific_f0_m1,5.5269042235667225,46,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Northwestern,scientific_f0_m1,5.441996604997193,47,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
all,Maryland,scientific_f0_m1,5.41815663273526,48,0,False,False,scientific_F0_M1,M1,linear,margin,F0,F0,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,2025,2,complete_cross_fitted_oof_through_2025,730f3823bcfe5f7d4521bd9232a7ded1860220d6e7966db7600371bba5ac6bc0
