ballot_rank,scientific_f0_m1,scientific_f0_m10,scientific_f0_m2,scientific_f0_m3,scientific_f0_m4,scientific_f0_m5,scientific_f1_m1,scientific_f1_m10,scientific_f1_m2,scientific_f1_m3,scientific_f1_m4,scientific_f1_m5,scientific_f2_m1,scientific_f2_m10,scientific_f2_m2,scientific_f2_m3,scientific_f2_m4,scientific_f2_m5,scientific_f3_m1,scientific_f3_m10,scientific_f3_m2,scientific_f3_m3,scientific_f3_m4,scientific_f3_m5,scientific_f4_m1,scientific_f4_m10,scientific_f4_m2,scientific_f4_m3,scientific_f4_m4,scientific_f4_m5,scientific_f5_m1,scientific_f5_m10,scientific_f5_m2,scientific_f5_m3,scientific_f5_m4,scientific_f5_m5,scientific_f6_m1,scientific_f6_m10,scientific_f6_m2,scientific_f6_m3,scientific_f6_m4,scientific_f6_m5
1,Georgia,Georgia,Georgia,Texas A&M,Georgia,Georgia,Miami,Alabama,Georgia,South Carolina,Georgia,Miami,Georgia,Kansas State,Miami,Georgia,Georgia,Georgia,Georgia,LSU,Georgia,Georgia,Georgia,Georgia,Georgia,LSU,Georgia,Georgia,Georgia,Georgia,Georgia,Ohio State,Georgia,Georgia,Georgia,Navy,Georgia,Georgia,Georgia,Georgia,Georgia,Tennessee
2,Texas,Oregon,Texas,Georgia,Alabama,Texas,Georgia,South Carolina,Miami,Georgia,Notre Dame,Notre Dame,South Carolina,LSU,Georgia,Kansas State,Miami,South Carolina,LSU,Kansas State,Notre Dame,Miami,Alabama,Notre Dame,Notre Dame,Kansas State,Notre Dame,Miami,Notre Dame,Arizona State,Alabama,LSU,LSU,Miami,Miami,Georgia,Ohio State,Ohio State,Notre Dame,Miami,Ohio State,Notre Dame
3,Oregon,Ohio State,Oregon,Florida,Oregon,Oregon,South Carolina,Houston,Notre Dame,Miami,Texas A&M,Georgia,Florida,Virginia,South Carolina,Miami,Florida,Florida,Alabama,Virginia Tech,Miami,LSU,Miami,South Carolina,Ohio State,Utah,Ohio State,LSU,Alabama,Indiana,Notre Dame,Georgia,Miami,Alabama,Notre Dame,Penn State,Texas,LSU,LSU,Ohio State,Miami,Wake Forest
4,Alabama,Texas,Alabama,Alabama,Texas,Alabama,Texas A&M,Utah,South Carolina,Notre Dame,Alabama,Florida,Miami,SMU,Notre Dame,Houston,Alabama,Miami,Notre Dame,SMU,Alabama,Alabama,Notre Dame,Indiana,LSU,BYU,Texas A&M,Indiana,Ohio State,Notre Dame,Ohio State,Indiana,Notre Dame,Notre Dame,Texas A&M,Alabama,Alabama,Indiana,Miami,Notre Dame,Indiana,James Madison
5,Ohio State,Alabama,Ohio State,Ohio State,Notre Dame,Ohio State,Alabama,Miami,Florida,Texas A&M,South Carolina,South Carolina,Notre Dame,Houston,Florida,LSU,Texas A&M,Houston,Texas,Alabama,Ohio State,Notre Dame,LSU,Ole Miss,South Carolina,Michigan,Miami,Notre Dame,Miami,Kansas State,LSU,Kansas State,Texas A&M,Ohio State,Alabama,Indiana,Notre Dame,Kansas State,Ohio State,Indiana,Notre Dame,USC
6,Notre Dame,Florida State,Notre Dame,Arizona State,Ohio State,Notre Dame,Florida,Ohio State,Texas A&M,Alabama,Florida,Indiana,LSU,Georgia,Texas A&M,South Carolina,Notre Dame,Mississippi State,South Carolina,Georgia State,Texas A&M,Kansas State,Texas A&M,Minnesota,Texas A&M,Virginia Tech,Alabama,Kansas State,Indiana,Penn State,Texas,Utah,Alabama,LSU,Ohio State,Boise State,LSU,James Madison,Alabama,Alabama,LSU,Ohio State
7,Texas A&M,Kentucky,Texas A&M,Florida State,LSU,Texas A&M,LSU,LSU,Alabama,Virginia,Miami,Texas A&M,Texas A&M,Virginia Tech,Mississippi State,Indiana,Kansas State,Maryland,Ohio State,Utah,Tennessee,Indiana,Ohio State,Kansas State,Alabama,Cincinnati,Tennessee,Alabama,Texas A&M,Minnesota,Texas A&M,Virginia Tech,Kansas State,Texas A&M,Kansas State,James Madison,Miami,Ole Miss,Texas A&M,LSU,Alabama,SMU
8,LSU,Notre Dame,LSU,Mississippi State,Texas A&M,LSU,Virginia Tech,Notre Dame,Virginia Tech,LSU,Virginia,Houston,Alabama,Miami,Alabama,Florida,South Carolina,Utah,Ole Miss,Houston,South Carolina,Texas A&M,Texas,Penn State,Texas,Ohio State,Florida,Texas A&M,LSU,Tennessee,Miami,Oregon,Texas,Indiana,LSU,Virginia Tech,Texas A&M,Virginia Tech,Texas,Texas A&M,Texas A&M,Mississippi State
9,USC,Michigan,USC,Syracuse,Clemson,USC,Mississippi State,Indiana,LSU,Utah,Kansas State,Virginia,Houston,Nebraska,Nebraska,Mississippi State,Houston,Indiana,Texas A&M,Ohio State,Ole Miss,Ohio State,Indiana,Syracuse,Ole Miss,Georgia State,South Carolina,Ohio State,Kansas State,South Carolina,Kansas State,Notre Dame,Ohio State,Kansas State,Utah,Texas A&M,South Carolina,Miami,Indiana,Tennessee,Texas,Illinois
10,Florida,Florida,Florida,Kentucky,South Carolina,Florida,Texas,Florida,Kansas State,Kansas State,Virginia Tech,Texas,Ohio State,Indiana,LSU,Texas A&M,LSU,Notre Dame,Miami,Miami,LSU,BYU,SMU,Arizona State,Kansas State,Indiana,Utah,Utah,Texas,James Madison,Florida,James Madison,South Carolina,BYU,Indiana,NC State,Ole Miss,Notre Dame,South Carolina,Florida,USC,Missouri
11,Michigan,West Virginia,Michigan,UNLV,USC,Michigan,Kansas State,Virginia Tech,Mississippi State,Houston,Houston,Ohio State,Indiana,South Carolina,Indiana,Virginia,Virginia,Ole Miss,Kansas State,Texas A&M,Texas,Florida,Utah,Texas,Florida,Texas A&M,Indiana,James Madison,Houston,LSU,South Carolina,BYU,Florida,Utah,BYU,Ole Miss,Florida,Oregon,Florida,Texas,Utah,LSU
12,Miami,Missouri,Miami,Missouri,Florida,Miami,Notre Dame,Maryland,Texas,Indiana,LSU,Alabama,Mississippi State,Florida,Ohio State,Alabama,Indiana,Kansas State,Indiana,South Carolina,Florida,Utah,Houston,Colorado State,Miami,Alabama,Ole Miss,Tennessee,BYU,UCLA,Indiana,Ole Miss,Indiana,Houston,Tennessee,SMU,Indiana,Utah,Kansas State,BYU,BYU,Georgia
13,Tennessee,Syracuse,Tennessee,Rice,Michigan,Tennessee,Tennessee,Virginia,Tennessee,Florida,Utah,Tennessee,Virginia Tech,Georgia State,Texas,Notre Dame,Maryland,Texas,Florida,NC State,Mississippi State,South Carolina,Ole Miss,SMU,Tennessee,Georgia,Texas,South Carolina,Virginia,Duke,Ole Miss,South Carolina,Utah,James Madison,Houston,LSU,Kansas State,Michigan,Utah,USC,SMU,Alabama
14,Ole Miss,Oklahoma,Ole Miss,Notre Dame,Miami,Ole Miss,Indiana,Mississippi State,Indiana,Missouri,Maryland,Mississippi State,Penn State,Mississippi State,Houston,James Madison,Tennessee,Illinois,BYU,Georgia,Utah,Houston,BYU,James Madison,Indiana,New Mexico,Mississippi State,Florida,Utah,SMU,Tennessee,Miami,Tennessee,SMU,Florida,Colorado State,Oklahoma,South Carolina,Ole Miss,Utah,James Madison,Texas
15,South Carolina,Arkansas,South Carolina,Ole Miss,Ole Miss,South Carolina,Ohio State,James Madison,Ohio State,Mississippi State,Indiana,LSU,Texas,Cincinnati,Tennessee,Maryland,Nebraska,James Madison,Tennessee,Indiana,Indiana,James Madison,Virginia,Illinois,Oklahoma,NC State,LSU,BYU,Florida,NC State,Oklahoma,USC,Ole Miss,Florida,Texas,South Carolina,Tennessee,Kentucky,Oklahoma,James Madison,Ole Miss,Indiana
16,Clemson,Auburn,Clemson,LSU,Tennessee,Clemson,Utah,Georgia,Utah,Nebraska,Nebraska,Utah,Kansas State,NC State,Utah,Ohio State,Utah,App State,Utah,Virginia,Nebraska,Tennessee,Florida,Vanderbilt,Utah,Florida,Kansas State,Houston,Louisville,Texas,Utah,Tennessee,Mississippi State,South Carolina,Virginia,Minnesota,Utah,Tennessee,USC,South Carolina,Florida,Penn State
17,Oklahoma,Houston,Oklahoma,Tennessee,Auburn,Oklahoma,Virginia,Texas,Virginia,Virginia Tech,Tennessee,Virginia Tech,Nebraska,Utah,Kansas State,Virginia Tech,Ohio State,Minnesota,Oklahoma,Syracuse,SMU,Virginia,Kansas State,North Carolina,BYU,Houston,Missouri,SMU,Tennessee,Washington,Mississippi State,Houston,Oklahoma,Texas,SMU,Colorado,Mississippi State,USC,Mississippi State,Kansas State,Tennessee,Colorado
18,Florida State,Mississippi State,Auburn,Georgia Tech,Oklahoma,Auburn,Houston,SMU,Houston,Texas,Texas,Missouri,Utah,BYU,Maryland,Nebraska,Mississippi State,Tennessee,Houston,Colorado State,BYU,USC,Tennessee,NC State,Houston,Mississippi State,Nebraska,Virginia,James Madison,Virginia Tech,SMU,Michigan,Missouri,Tennessee,USC,Florida,SMU,Alabama,Tennessee,SMU,Houston,Ole Miss
19,Auburn,LSU,Florida State,Miami,Missouri,Missouri,Maryland,NC State,Maryland,BYU,BYU,Maryland,Maryland,Maryland,Virginia,Utah,BYU,Texas A&M,Penn State,BYU,Missouri,Louisville,James Madison,Maryland,Mississippi State,Tennessee,Oklahoma,Nebraska,USC,Michigan,Virginia Tech,Iowa,BYU,Virginia,South Carolina,Iowa,Virginia Tech,Texas,SMU,Ole Miss,Kansas State,Texas Tech
20,Missouri,Stanford,Missouri,Maryland,Arkansas,Mississippi State,Nebraska,New Mexico,Nebraska,Tennessee,Ohio State,Nebraska,Tennessee,New Mexico,Ole Miss,Missouri,SMU,BYU,Mississippi State,Maryland,Virginia,Texas,Missouri,Miami,Missouri,South Carolina,BYU,USC,SMU,Liberty,Missouri,Oklahoma,Houston,USC,Mississippi State,Ohio State,BYU,Florida State,BYU,Louisville,Oklahoma,Florida
21,Mississippi State,Texas A&M,Mississippi State,Arkansas,Syracuse,Nebraska,Missouri,Texas A&M,New Mexico,Maryland,Mississippi State,Penn State,New Mexico,Tennessee,Penn State,Louisville,Texas,Penn State,SMU,Florida,Kansas State,Mississippi State,Louisville,Tennessee,SMU,Texas,SMU,Ole Miss,Mississippi State,Oregon,BYU,Mississippi State,Louisville,Ole Miss,Missouri,Notre Dame,USC,Houston,Missouri,Oklahoma,Mississippi State,Nebraska
22,Nebraska,UNLV,Nebraska,Houston,Florida State,Kentucky,Penn State,Kansas State,Missouri,Ohio State,New Mexico,Kansas State,BYU,App State,Virginia Tech,Tennessee,Missouri,Virginia Tech,Missouri,New Mexico,Oklahoma,Nebraska,South Carolina,Auburn,Virginia Tech,USC,Virginia,Louisville,Missouri,Texas A&M,Houston,Louisville,SMU,Louisville,Ole Miss,BYU,James Madison,Texas A&M,Louisville,Houston,Virginia,Florida State
23,Kentucky,Virginia,Kentucky,Utah,Kentucky,Washington,New Mexico,Massachusetts,Penn State,SMU,James Madison,SMU,Missouri,Notre Dame,Oklahoma,New Mexico,James Madison,Syracuse,James Madison,Ole Miss,Houston,SMU,USC,LSU,New Mexico,Miami,Houston,Texas,Nebraska,Florida State,James Madison,Florida,Nebraska,Nebraska,Louisville,Florida State,Missouri,Florida,James Madison,Missouri,Louisville,Kansas
24,Washington,Wisconsin,Washington,Virginia,Nebraska,UCLA,BYU,Louisville,BYU,Penn State,Cincinnati,Cincinnati,North Carolina,Louisville,James Madison,Texas,Virginia Tech,Missouri,New Mexico,Cincinnati,Louisville,Ole Miss,Mississippi State,Alabama,Nebraska,Maryland,USC,Mississippi State,Ole Miss,USC,USC,Texas,USC,Missouri,James Madison,Michigan,Houston,Iowa,Houston,Penn State,UCLA,Kansas State
25,UCLA,Arizona,UCLA,Louisville,Mississippi State,Penn State,Oklahoma,Pittsburgh,James Madison,Cincinnati,Missouri,USC,Ole Miss,UCF,BYU,SMU,USC,Nebraska,Nebraska,Penn State,Penn State,Missouri,Nebraska,Ohio State,James Madison,Colorado State,Texas Tech,Missouri,South Carolina,Alabama,Texas Tech,Texas A&M,Virginia,Oklahoma,Nebraska,Duke,Louisville,Mississippi State,Nebraska,Nebraska,South Carolina,Virginia Tech
