game_id,away_team,home_team,away_points,home_points,actual_winner,consensus_straight_up_pick,consensus_winner_correct,consensus_predicted_home_margin,actual_home_margin,consensus_absolute_margin_error,consensus_against_spread_team,consensus_home_team_market_spread,actual_against_spread_winner,consensus_ats_result
401858214,Rutgers,Boston College,21.0,28.0,Boston College,Boston College,True,3.88,7.0,3.12,Boston College,-3.25,Boston College,Win
401856678,Missouri,Kansas,38.0,21.0,Missouri,Kansas,False,1.78,-17.0,18.78,Kansas,5.5,Missouri,Loss
401856679,Oklahoma,Michigan,10.0,17.0,Michigan,Oklahoma,False,-1.97,7.0,8.97,Michigan,5.5,Michigan,Win
401856683,Arizona State,Texas A&M,20.0,48.0,Texas A&M,Texas A&M,True,9.37,28.0,18.630000000000003,Arizona State,-14.25,Texas A&M,Loss
401856781,Washington State,Kansas State,7.0,34.0,Kansas State,Kansas State,True,21.01,27.0,5.989999999999998,Kansas State,-18.75,Kansas State,Win
401856782,Oregon,Oklahoma State,31.0,39.0,Oklahoma State,Oregon,False,-17.97,8.0,25.97,Oklahoma State,22.5,Oklahoma State,Win
401858221,Old Dominion,Virginia Tech,21.0,44.0,Virginia Tech,Virginia Tech,True,21.24,23.0,1.7600000000000016,Virginia Tech,-18.5,Virginia Tech,Win
401858224,Wake Forest,Purdue,38.0,36.0,Wake Forest,Purdue,False,7.03,-2.0,9.030000000000001,Purdue,3.75,Purdue,Win
401858442,Penn State,Temple,27.0,9.0,Penn State,Penn State,True,-12.02,-18.0,5.98,Temple,23.75,Temple,Win
401862702,South Florida,Army,28.0,24.0,South Florida,Army,False,10.96,-4.0,14.96,Army,-3.5,South Florida,Loss
401864571,App State,East Carolina,27.0,24.0,App State,App State,True,-9.16,-3.0,6.16,App State,-7.5,App State,Win
401856673,Western Kentucky,Georgia,20.0,70.0,Georgia,Georgia,True,28.08,50.0,21.92,Western Kentucky,-40.0,Georgia,Loss
401856674,Alabama,Kentucky,45.0,17.0,Alabama,Alabama,True,-6.58,-28.0,21.42,Kentucky,10.5,Alabama,Loss
401856677,Mississippi State,Minnesota,38.0,13.0,Mississippi State,Minnesota,False,7.32,-25.0,32.32,Minnesota,0.25,Mississippi State,Loss
401856790,UCF,Pittsburgh,7.0,12.0,Pittsburgh,Pittsburgh,True,0.53,5.0,4.47,UCF,-7.0,UCF,Win
401856810,Arizona,BYU,17.0,28.0,BYU,BYU,True,10.84,11.0,0.16000000000000014,BYU,-7.5,BYU,Win
