home_data_point,away_data_point,comparison_name,mathematical_comparison
home.statDef_passes_intercepted,away.statOff_pass_attempts,statDef_passes_intercepted_vs_statOff_pass_attempts,home.statDef_passes_intercepted - away.statOff_pass_attempts
home.statDef_interceptions,away.statOff_pass_attempts,statDef_interceptions_vs_statOff_pass_attempts,home.statDef_interceptions - away.statOff_pass_attempts
home.statDef_tackles_for_loss,away.statOff_yards_per_rush_attempt,statDef_tackles_for_loss_vs_statOff_yards_per_rush_attempt,home.statDef_tackles_for_loss - away.statOff_yards_per_rush_attempt
home.statDef_defensive_tds,away.statGen_turnovers,statDef_defensive_tds_vs_statGen_turnovers,home.statDef_defensive_tds + away.statGen_turnovers
home.statDef_tackles,away.offense_plays,statDef_tackles_vs_offense_plays,home.statDef_tackles - away.offense_plays
home.statDef_sacks,away.statOff_pass_attempts,statDef_sacks_vs_statOff_pass_attempts,home.statDef_sacks - away.statOff_pass_attempts
home.statDef_qb_hurries,away.statOff_pass_attempts,statDef_qb_hurries_vs_statOff_pass_attempts,home.statDef_qb_hurries - away.statOff_pass_attempts
home.statDef_passes_deflected,away.statOff_completion_rate,statDef_passes_deflected_vs_statOff_completion_rate,home.statDef_passes_deflected - away.statOff_completion_rate
home.statGen_fumbles_recovered,away.statGen_fumbles_lost,statGen_fumbles_recovered_vs_statGen_fumbles_lost,home.statGen_fumbles_recovered + away.statGen_fumbles_lost
home.statGen_possession_time,away.statGen_possession_time,statGen_possession_time_vs_statGen_possession_time,home.statGen_possession_time - away.statGen_possession_time
home.statGen_fumbles_lost,away.statGen_fumbles_recovered,statGen_fumbles_lost_vs_statGen_fumbles_recovered,-home.statGen_fumbles_lost - away.statGen_fumbles_recovered
home.statGen_turnovers,away.statDef_interceptions,statGen_turnovers_vs_statDef_interceptions,-home.statGen_turnovers - away.statDef_interceptions
home.statGen_penalties,away.statGen_penalties,statGen_penalties_vs_statGen_penalties,-home.statGen_penalties + away.statGen_penalties
home.statGen_total_fumbles,away.statGen_fumbles_recovered,statGen_total_fumbles_vs_statGen_fumbles_recovered,-home.statGen_total_fumbles - away.statGen_fumbles_recovered
home.statSpe_punt_return_tds,away.statSpe_punt_return_tds,statSpe_punt_return_tds_vs_statSpe_punt_return_tds,home.statSpe_punt_return_tds - away.statSpe_punt_return_tds
home.statSpe_punt_returns,away.statSpe_punt_returns,statSpe_punt_returns_vs_statSpe_punt_returns,home.statSpe_punt_returns - away.statSpe_punt_returns
home.statSpe_kick_return_tds,away.statSpe_kick_return_tds,statSpe_kick_return_tds_vs_statSpe_kick_return_tds,home.statSpe_kick_return_tds - away.statSpe_kick_return_tds
home.statSpe_kick_returns,away.statSpe_kick_returns,statSpe_kick_returns_vs_statSpe_kick_returns,home.statSpe_kick_returns - away.statSpe_kick_returns
home.statSpe_kicking_points,away.statSpe_kicking_points,statSpe_kicking_points_vs_statSpe_kicking_points,home.statSpe_kicking_points - away.statSpe_kicking_points
home.roster_return_total_rushing_p_p_a,away.defense_rushing_plays_ppa,roster_return_total_rushing_p_p_a_vs_defense_rushing_plays_ppa,home.roster_return_total_rushing_p_p_a + away.defense_rushing_plays_ppa
home.roster_return_percent_p_p_a,away.defense_ppa,roster_return_percent_p_p_a_vs_defense_ppa,home.roster_return_percent_p_p_a + away.defense_ppa
home.roster_return_percent_passing_p_p_a,away.defense_passing_plays_ppa,roster_return_percent_passing_p_p_a_vs_defense_passing_plays_ppa,home.roster_return_percent_passing_p_p_a + away.defense_passing_plays_ppa
home.roster_return_percent_receiving_p_p_a,away.defense_passing_plays_success_rate,roster_return_percent_receiving_p_p_a_vs_defense_passing_plays_success_rate,home.roster_return_percent_receiving_p_p_a + away.defense_passing_plays_success_rate
home.roster_return_percent_rushing_p_p_a,away.defense_rushing_plays_ppa,roster_return_percent_rushing_p_p_a_vs_defense_rushing_plays_ppa,home.roster_return_percent_rushing_p_p_a + away.defense_rushing_plays_ppa
home.roster_return_rushing_usage,away.defense_stuff_rate,roster_return_rushing_usage_vs_defense_stuff_rate,home.roster_return_rushing_usage - away.defense_stuff_rate
home.roster_talent,away.roster_talent,roster_talent_vs_roster_talent,home.roster_talent - away.roster_talent
home.coach_career_seasons,away.coach_career_seasons,coach_career_seasons_vs_coach_career_seasons,home.coach_career_seasons - away.coach_career_seasons
home.coach_career_mean_sp_offense,away.coach_career_mean_sp_defense,coach_career_mean_sp_offense_vs_coach_career_mean_sp_defense,home.coach_career_mean_sp_offense + away.coach_career_mean_sp_defense
home.coach_career_mean_sp_defense,away.coach_career_mean_sp_offense,coach_career_mean_sp_defense_vs_coach_career_mean_sp_offense,-home.coach_career_mean_sp_defense - away.coach_career_mean_sp_offense
home.coach_career_mean_postseason_rank_points,away.coach_career_mean_postseason_rank_points,coach_career_mean_postseason_rank_points_vs_coach_career_mean_postseason_rank_points,home.coach_career_mean_postseason_rank_points - away.coach_career_mean_postseason_rank_points
home.travel_tz_diff,away.travel_tz_diff,travel_tz_diff_vs_travel_tz_diff,-home.travel_tz_diff + away.travel_tz_diff
home.travel_distance_diff,away.travel_distance_diff,travel_distance_diff_vs_travel_distance_diff,-home.travel_distance_diff + away.travel_distance_diff
home.target_points_for_avg,away.target_points_against_avg,target_points_for_avg_vs_target_points_against_avg,home.target_points_for_avg + away.target_points_against_avg
home.target_points_against_avg,away.target_points_for_avg,target_points_against_avg_vs_target_points_for_avg,-home.target_points_against_avg - away.target_points_for_avg
