game_id,away_team,home_team,away_points,home_points,actual_winner,consensus_straight_up_pick,consensus_winner_correct,consensus_predicted_home_margin,actual_home_margin,consensus_absolute_margin_error,consensus_against_spread_team,consensus_home_team_market_spread,actual_against_spread_winner,consensus_ats_result
401858225,Syracuse,Pittsburgh,13.0,27.0,Pittsburgh,Pittsburgh,True,4.68,14.0,9.32,Syracuse,-10.0,Pittsburgh,Loss
401858226,Miami,Wake Forest,33.0,20.0,Miami,Miami,True,-15.67,-13.0,2.67,Wake Forest,23.5,Wake Forest,Win
401856811,Houston,Texas Tech,26.0,28.0,Texas Tech,Houston,False,-3.13,2.0,5.13,Houston,-9.5,Houston,Win
401869940,Coastal Carolina,Delaware,14.0,22.0,Delaware,Delaware,True,2.33,8.0,5.67,Coastal Carolina,-4.5,Delaware,Loss
401856686,Georgia,Arkansas,45.0,17.0,Georgia,Georgia,True,-21.66,-28.0,6.34,Arkansas,24.5,Georgia,Loss
401856792,Tulane,Kansas State,20.0,31.0,Kansas State,Kansas State,True,19.21,11.0,8.21,Tulane,-19.5,Tulane,Win
401856798,Bowling Green,Iowa State,7.0,55.0,Iowa State,Iowa State,True,17.77,48.0,30.23,Bowling Green,-22.5,Iowa State,Loss
401856812,Arizona State,Kansas,24.0,17.0,Arizona State,Kansas,False,2.6,-7.0,9.6,Kansas,5.5,Arizona State,Loss
401858229,North Carolina,Clemson,20.0,28.0,Clemson,North Carolina,False,-4.35,8.0,12.35,North Carolina,-5.5,Clemson,Loss
401858451,Akron,Minnesota,7.0,41.0,Minnesota,Minnesota,True,9.3,34.0,24.7,Akron,-26.5,Minnesota,Loss
401858454,Kent State,Ohio State,3.0,59.0,Ohio State,Ohio State,True,28.69,56.0,27.31,Kent State,-51.5,Ohio State,Loss
401858456,Buffalo,Penn State,13.0,55.0,Penn State,Penn State,True,26.04,42.0,15.96,Buffalo,-39.5,Penn State,Loss
401860889,North Texas,Texas State,35.0,49.0,Texas State,North Texas,False,-6.58,14.0,20.58,North Texas,-3.0,Texas State,Loss
401858460,Eastern Michigan,Wisconsin,10.0,54.0,Wisconsin,Wisconsin,True,14.23,44.0,29.77,Eastern Michigan,-24.5,Wisconsin,Loss
401856695,NC State,Vanderbilt,31.0,35.0,Vanderbilt,NC State,False,-0.41,4.0,4.41,NC State,-4.0,Push,Push
401864508,Wyoming,Central Michigan,10.0,24.0,Central Michigan,Central Michigan,True,0.72,14.0,13.28,Wyoming,-2.5,Central Michigan,Loss
401862774,Temple,Toledo,48.0,49.0,Toledo,Toledo,True,9.45,1.0,8.45,Toledo,-4.0,Temple,Loss
401856685,Florida State,Alabama,36.0,50.0,Alabama,Alabama,True,16.95,14.0,2.9499999999999993,Florida State,-18.5,Florida State,Win
401856694,Kentucky,Texas A&M,31.0,21.0,Kentucky,Texas A&M,False,20.04,-10.0,30.04,Texas A&M,-15.5,Kentucky,Loss
401856797,Miami (OH),Cincinnati,31.0,35.0,Cincinnati,Cincinnati,True,12.95,4.0,8.95,Miami (OH),-15.5,Miami (OH),Win
401856801,Utah State,Utah,0.0,33.0,Utah,Utah,True,22.73,33.0,10.27,Utah State,-27.5,Utah,Loss
401858230,SMU,Louisville,31.0,41.0,Louisville,Louisville,True,1.93,10.0,8.07,Louisville,-1.5,Louisville,Win
401858450,UTEP,Michigan,17.0,52.0,Michigan,Michigan,True,19.49,35.0,15.510000000000002,UTEP,-36.5,UTEP,Win
401858457,USC,Rutgers,42.0,35.0,USC,USC,True,-17.23,-7.0,10.23,Rutgers,24.5,Rutgers,Win
401858231,Stanford,Duke,7.0,35.0,Duke,Duke,True,6.06,28.0,21.94,Stanford,-10.0,Duke,Loss
401858449,Western Kentucky,Indiana,0.0,38.0,Indiana,Indiana,True,25.26,38.0,12.739999999999998,Western Kentucky,-44.5,Western Kentucky,Win
401866422,Ball State,Liberty,15.0,51.0,Liberty,Liberty,True,11.36,36.0,24.64,Ball State,-14.5,Liberty,Loss
401867804,Louisiana Tech,Baylor,19.0,36.0,Baylor,Baylor,True,10.46,17.0,6.539999999999999,Louisiana Tech,-17.5,Louisiana Tech,Win
401856691,Mississippi State,South Carolina,41.0,34.0,Mississippi State,South Carolina,False,7.79,-7.0,14.79,South Carolina,-3.5,Mississippi State,Loss
401862710,East Carolina,Old Dominion,20.0,17.0,East Carolina,Old Dominion,False,7.43,-3.0,10.43,Old Dominion,-2.5,East Carolina,Loss
401862771,Florida International,Florida Atlantic,10.0,16.0,Florida Atlantic,Florida International,False,-4.25,6.0,10.25,Florida International,-7.5,Florida International,Win
401864574,Charlotte,App State,21.0,26.0,App State,App State,True,18.32,5.0,13.32,Charlotte,-19.5,Charlotte,Win
401871047,Marshall,Missouri State,30.0,24.0,Marshall,Missouri State,False,2.75,-6.0,8.75,Missouri State,4.5,Marshall,Loss
401856687,Florida,Auburn,44.0,39.0,Florida,Florida,True,-8.07,-5.0,3.0700000000000003,Florida,2.5,Florida,Win
401856689,Troy,Missouri,17.0,27.0,Missouri,Missouri,True,19.98,10.0,9.98,Troy,-27.5,Troy,Win
401856800,Georgia State,UCF,30.0,44.0,UCF,UCF,True,4.38,14.0,9.620000000000001,Georgia State,-21.0,Georgia State,Win
