scorecard_rank,model_name,games,straight_up_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes
1,scientific_F6_M2,57,0.7719298245614035,10.429341730236898,33,22,2
2,scientific_F6_M1,57,0.7894736842105263,10.658818631298367,30,25,2
3,scientific_F6_M4,57,0.8245614035087719,10.72448271081555,30,25,2
4,scientific_F4_M1,57,0.8070175438596491,10.736375492617233,33,22,2
5,scientific_F3_M1,57,0.8070175438596491,10.81226612811643,31,24,2
6,scientific_F5_M2,57,0.7543859649122807,10.95868296075232,31,24,2
7,scientific_F5_M1,57,0.7719298245614035,10.984827291314547,27,28,2
8,scientific_F4_M2,57,0.8070175438596491,11.030969112834203,34,21,2
9,scientific_F6_M3,57,0.7368421052631579,11.247175658832385,28,27,2
10,scientific_F3_M2,57,0.7719298245614035,11.383039200104566,32,23,2
11,scientific_F5_M3,57,0.7719298245614035,11.546979608092567,24,31,2
12,scientific_F4_M4,57,0.7894736842105263,11.61432043832605,26,29,2
13,scientific_F5_M4,57,0.7894736842105263,11.623496265236472,27,28,2
14,scientific_F3_M3,57,0.7719298245614035,11.767250886287279,27,28,2
15,scientific_F4_M3,57,0.7719298245614035,11.796162957213447,25,30,2
16,scientific_F3_M4,57,0.7543859649122807,12.067208923413123,28,27,2
17,scientific_F2_M1,57,0.7543859649122807,12.097014709594822,29,26,2
18,scientific_F0_M4,57,0.7894736842105263,12.16807099089572,31,24,2
19,scientific_F0_M2,57,0.7017543859649122,12.283133340480036,33,22,2
20,scientific_F5_M10,57,0.6842105263157895,12.369298245614035,28,26,2
21,scientific_F0_M5,57,0.7719298245614035,12.404711225576568,32,23,2
22,scientific_F0_M1,57,0.7368421052631579,12.446507814657158,33,22,2
23,scientific_F6_M10,57,0.7543859649122807,12.631578947368421,30,25,2
24,scientific_F6_M5,57,0.7719298245614035,12.675007968618159,32,23,2
25,scientific_F2_M2,57,0.7017543859649122,12.792684565657737,29,26,2
26,scientific_F1_M1,57,0.7719298245614035,12.88140083229225,26,29,2
27,scientific_F2_M4,57,0.7017543859649122,12.923035902982614,30,25,2
28,scientific_F1_M2,57,0.7368421052631579,13.10096141603603,26,29,2
29,scientific_F1_M5,57,0.7192982456140351,13.285933883566605,29,26,2
30,scientific_F1_M3,57,0.7368421052631579,13.317649772513665,27,28,2
31,scientific_F1_M10,57,0.7368421052631579,13.436206249916898,31,24,2
32,scientific_F2_M3,57,0.7368421052631579,13.457105429185178,26,29,2
33,scientific_F4_M10,57,0.6842105263157895,13.52204277740123,28,27,2
34,scientific_F3_M10,57,0.7192982456140351,13.6006698473445,26,29,2
35,scientific_F1_M4,57,0.7192982456140351,13.737183724083657,26,29,2
36,scientific_F3_M5,57,0.7719298245614035,14.073200681753326,31,24,2
37,scientific_F2_M5,57,0.7192982456140351,14.386391774604196,33,22,2
38,scientific_F0_M3,57,0.7368421052631579,14.57245559561683,33,22,2
39,scientific_F0_M10,57,0.7192982456140351,14.608642934715917,34,21,2
40,scientific_F4_M5,57,0.6491228070175439,15.161779051287132,32,23,2
41,scientific_F2_M10,57,0.631578947368421,15.269767979566797,27,28,2
42,scientific_F5_M5,57,0.6491228070175439,15.666826475084873,35,20,2
