postgame_margin_rank,scorecard_rank,model_name,games,su_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes,model_family,feature_config,model_id,su_wins,su_losses,ats_accuracy_excluding_pushes,brier_score
1,1,scientific_F6_M2,57,0.7719298245614035,10.429341730236898,33,22,2,F6 · spline,F6,scientific_F6_M2,44,13,0.6,
2,2,scientific_F6_M1,57,0.7894736842105263,10.658818631298368,30,25,2,F6 · linear,F6,scientific_F6_M1,45,12,0.5454545454545454,
3,3,scientific_F6_M4,57,0.8245614035087719,10.72448271081555,30,25,2,F6 · boosted,F6,scientific_F6_M4,47,10,0.5454545454545454,
4,4,scientific_F4_M1,57,0.8070175438596491,10.736375492617231,33,22,2,F4 · linear,F4,scientific_F4_M1,46,11,0.6,
5,5,scientific_F3_M1,57,0.8070175438596491,10.81226612811643,31,24,2,F3 · linear,F3,scientific_F3_M1,46,11,0.5636363636363636,
6,6,scientific_F5_M2,57,0.7543859649122807,10.95868296075232,31,24,2,F5 · spline,F5,scientific_F5_M2,43,14,0.5636363636363636,
7,7,scientific_F5_M1,57,0.7719298245614035,10.984827291314549,27,28,2,F5 · linear,F5,scientific_F5_M1,44,13,0.4909090909090909,
8,8,scientific_F4_M2,57,0.8070175438596491,11.030969112834203,34,21,2,F4 · spline,F4,scientific_F4_M2,46,11,0.6181818181818182,
9,9,scientific_F6_M3,57,0.7368421052631579,11.247175658832385,28,27,2,F6 · tree,F6,scientific_F6_M3,42,15,0.509090909090909,
10,10,scientific_F3_M2,57,0.7719298245614035,11.383039200104566,32,23,2,F3 · spline,F3,scientific_F3_M2,44,13,0.5818181818181818,
11,11,scientific_F5_M3,57,0.7719298245614035,11.546979608092569,24,31,2,F5 · tree,F5,scientific_F5_M3,44,13,0.43636363636363634,
12,12,scientific_F4_M4,57,0.7894736842105263,11.61432043832605,26,29,2,F4 · boosted,F4,scientific_F4_M4,45,12,0.4727272727272727,
13,13,scientific_F5_M4,57,0.7894736842105263,11.623496265236472,27,28,2,F5 · boosted,F5,scientific_F5_M4,45,12,0.4909090909090909,
14,14,scientific_F3_M3,57,0.7719298245614035,11.76725088628728,27,28,2,F3 · tree,F3,scientific_F3_M3,44,13,0.4909090909090909,
15,15,scientific_F4_M3,57,0.7719298245614035,11.796162957213449,25,30,2,F4 · tree,F4,scientific_F4_M3,44,13,0.45454545454545453,
16,16,scientific_F3_M4,57,0.7543859649122807,12.067208923413125,28,27,2,F3 · boosted,F3,scientific_F3_M4,43,14,0.509090909090909,
17,17,scientific_F2_M1,57,0.7543859649122807,12.097014709594822,29,26,2,F2 · linear,F2,scientific_F2_M1,43,14,0.5272727272727272,
18,18,scientific_F0_M4,57,0.7894736842105263,12.16807099089572,31,24,2,F0 · boosted,F0,scientific_F0_M4,45,12,0.5636363636363636,
19,19,scientific_F0_M2,57,0.7017543859649122,12.283133340480036,33,22,2,F0 · spline,F0,scientific_F0_M2,40,17,0.6,
20,20,scientific_F5_M10,57,0.6842105263157895,12.369298245614036,28,26,2,F5 · knn,F5,scientific_F5_M10,39,18,0.5185185185185185,
21,21,scientific_F0_M5,57,0.7719298245614035,12.404711225576568,32,23,2,F0 · neural,F0,scientific_F0_M5,44,13,0.5818181818181818,
22,22,scientific_F0_M1,57,0.7368421052631579,12.446507814657158,33,22,2,F0 · linear,F0,scientific_F0_M1,42,15,0.6,
23,23,scientific_F6_M10,57,0.7543859649122807,12.63157894736842,30,25,2,F6 · knn,F6,scientific_F6_M10,43,14,0.5454545454545454,
24,24,scientific_F6_M5,57,0.7719298245614035,12.67500796861816,32,23,2,F6 · neural,F6,scientific_F6_M5,44,13,0.5818181818181818,
25,25,scientific_F2_M2,57,0.7017543859649122,12.792684565657735,29,26,2,F2 · spline,F2,scientific_F2_M2,40,17,0.5272727272727272,
26,26,scientific_F1_M1,57,0.7719298245614035,12.88140083229225,26,29,2,F1 · linear,F1,scientific_F1_M1,44,13,0.4727272727272727,
27,27,scientific_F2_M4,57,0.7017543859649122,12.923035902982614,30,25,2,F2 · boosted,F2,scientific_F2_M4,40,17,0.5454545454545454,
28,28,scientific_F1_M2,57,0.7368421052631579,13.10096141603603,26,29,2,F1 · spline,F1,scientific_F1_M2,42,15,0.4727272727272727,
29,29,scientific_F1_M5,57,0.7192982456140351,13.285933883566605,29,26,2,F1 · neural,F1,scientific_F1_M5,41,16,0.5272727272727272,
30,30,scientific_F1_M3,57,0.7368421052631579,13.317649772513665,27,28,2,F1 · tree,F1,scientific_F1_M3,42,15,0.4909090909090909,
31,31,scientific_F1_M10,57,0.7368421052631579,13.436206249916898,31,24,2,F1 · knn,F1,scientific_F1_M10,42,15,0.5636363636363636,
32,32,scientific_F2_M3,57,0.7368421052631579,13.457105429185178,26,29,2,F2 · tree,F2,scientific_F2_M3,42,15,0.4727272727272727,
33,33,scientific_F4_M10,57,0.6842105263157895,13.52204277740123,28,27,2,F4 · knn,F4,scientific_F4_M10,39,18,0.509090909090909,
34,34,scientific_F3_M10,57,0.7192982456140351,13.6006698473445,26,29,2,F3 · knn,F3,scientific_F3_M10,41,16,0.4727272727272727,
35,35,scientific_F1_M4,57,0.7192982456140351,13.737183724083655,26,29,2,F1 · boosted,F1,scientific_F1_M4,41,16,0.4727272727272727,
36,36,scientific_F3_M5,57,0.7719298245614035,14.073200681753326,31,24,2,F3 · neural,F3,scientific_F3_M5,44,13,0.5636363636363636,
37,37,scientific_F2_M5,57,0.7192982456140351,14.386391774604196,33,22,2,F2 · neural,F2,scientific_F2_M5,41,16,0.6,
38,38,scientific_F0_M3,57,0.7368421052631579,14.57245559561683,33,22,2,F0 · tree,F0,scientific_F0_M3,42,15,0.6,
39,39,scientific_F0_M10,57,0.7192982456140351,14.608642934715917,34,21,2,F0 · knn,F0,scientific_F0_M10,41,16,0.6181818181818182,
40,40,scientific_F4_M5,57,0.6491228070175439,15.161779051287132,32,23,2,F4 · neural,F4,scientific_F4_M5,37,20,0.5818181818181818,
41,41,scientific_F2_M10,57,0.631578947368421,15.269767979566796,27,28,2,F2 · knn,F2,scientific_F2_M10,36,21,0.4909090909090909,
42,42,scientific_F5_M5,57,0.6491228070175439,15.666826475084871,35,20,2,F5 · neural,F5,scientific_F5_M5,37,20,0.6363636363636364,
