consensus_phase,consensus_roster,consensus_reader_week,consensus_provider_week,game_id,consensus_kickoff_eastern,away_team,home_team,model_name,model_family,fingerprint,pred_home_margin,pred_home_win_probability,pred_winner,model_predicted_winner_margin,model_against_spread_pick,model_edge_vs_spread_points,consensus_straight_up_pick,consensus_predicted_winner_margin,consensus_against_spread_pick,consensus_model_edge_vs_spread_points,season,week,game_start_time_utc,neutral_site,conference_game,season_type,market_spread_close,keys_season,next_week,next_game_id,objective,checkpoint_path,checkpoint_sha256,roster_rank,preseason_performance_rank,confidence,created_at_utc,consensus_predicted_home_win_probability,consensus_home_team_market_spread,consensus_against_spread_team,consensus_against_spread_line,consensus_model_agreement,consensus_scientific_model_count,model_against_spread_team,model_against_spread_line,home_points,away_points,actual_home_margin,actual_winner,model_winner_correct,model_absolute_margin_error,actual_against_spread_winner,model_ats_result,consensus_ats_result
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F0_M1,linear,F0,3.779677604030633,0.567087251546687,Eastern Michigan,3.78,Eastern Michigan -3,0.78,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M1/checkpoint.pkl,3004e951de040158ab253160a1e5faebc99073441fb5f3eb0322a6bdf211b863,1,1,0.1341745030933741,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,9.779677604030633,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F0_M10,knn,F0,6.999999927824117,0.6224593299903117,Eastern Michigan,7.0,Eastern Michigan -3,4.0,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M10/checkpoint.pkl,b72148b78493a060d1e5be6746b97d7061aabc8de152a7dbd2609c57c966e170,6,6,0.2449186599806234,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,12.999999927824117,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F0_M2,spline,F0,3.5838095257464486,0.5636494040207509,Eastern Michigan,3.584,Eastern Michigan -3,0.584,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M2/checkpoint.pkl,faa0aa500ef3a49204415f776e055580b8b2192d373428f5c322465c4b6b53a5,2,2,0.1272988080415018,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,9.58380952574645,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F0_M3,tree,F0,-1.4034632604883308,0.4749591233178005,San José State,1.403,San José State +3,4.403,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M3/checkpoint.pkl,358ba183dfb2490fa300be4658b19950aed0049b8ea4fce0bdd7cd13ceb41d21,3,3,0.050081753364399,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,San José State,3.0,21.0,27.0,-6.0,San José State,True,4.596536739511669,San José State,Win,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F0_M4,boosted,F0,3.7645178816019023,0.5668213964558217,Eastern Michigan,3.765,Eastern Michigan -3,0.765,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M4/checkpoint.pkl,536856580617cdb0017463eadedb4239f7f52f3b6e217f92307fc64664dda481,4,4,0.1336427929116435,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,9.764517881601902,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F0_M5,neural,F0,3.5101892948150635,0.5623556308241779,Eastern Michigan,3.51,Eastern Michigan -3,0.51,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F0/M5/checkpoint.pkl,b5c22a3c584ee4be901802a4cd0a8d35a35b0464f5fefaac5132089a925dc1af,5,5,0.1247112616483558,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,9.510189294815063,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F1_M1,linear,F1,15.415349874218588,0.7504654852263669,Eastern Michigan,15.415,Eastern Michigan -3,12.415,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M1/checkpoint.pkl,de123537a22f9ab809539f81b9b90e376311fd3703d871f3eebb0d5a5a6b0167,7,7,0.5009309704527338,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,21.415349874218588,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F1_M10,knn,F1,28.314238736916064,0.8831336551693506,Eastern Michigan,28.314,Eastern Michigan -3,25.314,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M10/checkpoint.pkl,3d72b6bd97123eaa76a67c2debf38d1b23388a3605a981b3b121263f2c1deed8,12,12,0.7662673103387012,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,34.31423873691607,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F1_M2,spline,F1,14.497972454919106,0.7379942263925612,Eastern Michigan,14.498,Eastern Michigan -3,11.498,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M2/checkpoint.pkl,dd67d778cca7ecca58d04c1c2f81380cf31f9dc37912ed12f772336ea65440b5,8,8,0.4759884527851223,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,20.497972454919108,San José State,Loss,Loss
pre_game,Scientific roster (market-free F0–F6),1,1,401864495,Fri 6:30 PM,San José State,Eastern Michigan,scientific_F1_M3,tree,F1,17.291466378066364,0.774710774356322,Eastern Michigan,17.291,Eastern Michigan -3,14.291,Eastern Michigan,11.6,Eastern Michigan -3,8.6,2026,1,2026-09-04T22:30:00.000Z,False,False,regular,-3.0,2026,1,401864495,margin,/groups/bsavoie2/tburton2/TDNet/publication_artifacts/scientific_roster_refits/f0_f8_margin_through_2025_v1/cells/F1/M3/checkpoint.pkl,074942f55a18152490c8f5fbb362670a65f282e328e391b3fbde67b83fe800f6,9,9,0.5494215487126439,2026-09-02T17:56:56.641386+00:00,0.6907,-3.0,Eastern Michigan,-3.0,0.9762,42,Eastern Michigan,-3.0,21.0,27.0,-6.0,San José State,False,23.291466378066364,San José State,Loss,Loss
