keys_team,poll_points,top25_votes,ballots_seen,best_ballot_rank
Syracuse,201,19,42,4
Kansas,190,21,42,5
Iowa,149,19,42,4
Michigan,141,18,42,10
Pittsburgh,107,18,42,12
Louisiana Tech,105,8,42,1
Kentucky,98,14,42,9
UConn,87,12,42,8
App State,82,12,42,11
Ole Miss,82,8,42,14
Army,60,8,42,9
Nebraska,52,8,42,16
Florida State,52,6,42,7
Illinois,50,4,42,2
Indiana,48,11,42,18
Clemson,47,4,42,9
Michigan State,45,3,42,3
Georgia Tech,40,3,42,8
Auburn,39,6,42,17
Rice,37,3,42,12
Louisiana,36,4,42,6
UNLV,31,2,42,10
Duke,27,3,42,8
San Diego State,27,2,42,12
Arizona,23,4,42,15
Virginia,21,3,42,15
South Florida,20,1,42,6
Purdue,17,2,42,10
Delaware,16,1,42,10
Southern Miss,14,2,42,13
UCLA,13,5,42,20
Texas Tech,13,3,42,18
Kennesaw State,13,1,42,13
Sacramento State,12,2,42,17
Arkansas,11,2,42,20
Georgia State,11,2,42,19
Temple,9,1,42,17
Wake Forest,9,1,42,17
Washington,8,4,42,24
Georgia Southern,5,1,42,21
Memphis,5,1,42,21
Houston,4,1,42,22
Fresno State,3,1,42,23
Louisville,1,1,42,25
NC State,1,1,42,25
Vanderbilt,1,1,42,25
