postgame_margin_rank,scorecard_rank,model_name,games,su_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes,model_family,feature_config,model_id,su_wins,su_losses,ats_accuracy_excluding_pushes,brier_score
1,1,scientific_F5_M10,39,0.8717948717948718,16.655128205128204,14,24,1,F5 · knn,F5,scientific_F5_M10,34,5,0.3684210526315789,
2,2,scientific_F6_M10,39,0.8974358974358975,16.846153846153847,14,24,1,F6 · knn,F6,scientific_F6_M10,35,4,0.3684210526315789,
3,3,scientific_F0_M10,39,0.8205128205128205,17.972856936586037,15,23,1,F0 · knn,F0,scientific_F0_M10,32,7,0.39473684210526316,
4,4,scientific_F6_M5,39,0.8205128205128205,18.33924501064496,14,24,1,F6 · neural,F6,scientific_F6_M5,32,7,0.3684210526315789,
5,5,scientific_F1_M1,39,0.8717948717948718,18.474398724552486,13,25,1,F1 · linear,F1,scientific_F1_M1,34,5,0.34210526315789475,
6,6,scientific_F1_M2,39,0.8717948717948718,18.49315769912652,13,25,1,F1 · spline,F1,scientific_F1_M2,34,5,0.34210526315789475,
7,7,scientific_F0_M2,39,0.9230769230769232,18.57578255962568,12,26,1,F0 · spline,F0,scientific_F0_M2,36,3,0.3157894736842105,
8,8,scientific_F6_M4,39,0.8461538461538461,18.60280301449208,16,22,1,F6 · boosted,F6,scientific_F6_M4,33,6,0.42105263157894735,
9,9,scientific_F1_M4,39,0.8974358974358975,18.608507759301503,11,27,1,F1 · boosted,F1,scientific_F1_M4,35,4,0.2894736842105263,
10,10,scientific_F4_M4,39,0.8461538461538461,18.69534181578412,14,24,1,F4 · boosted,F4,scientific_F4_M4,33,6,0.3684210526315789,
11,11,scientific_F3_M4,39,0.8717948717948718,18.70758503445076,14,24,1,F3 · boosted,F3,scientific_F3_M4,34,5,0.3684210526315789,
12,12,scientific_F6_M2,39,0.8717948717948718,18.75607771385221,15,23,1,F6 · spline,F6,scientific_F6_M2,34,5,0.39473684210526316,
13,13,scientific_F5_M3,39,0.8205128205128205,18.84657050215189,14,24,1,F5 · tree,F5,scientific_F5_M3,32,7,0.3684210526315789,
14,14,scientific_F0_M1,39,0.9230769230769232,18.9528795615366,12,26,1,F0 · linear,F0,scientific_F0_M1,36,3,0.3157894736842105,
15,15,scientific_F0_M4,39,0.8461538461538461,18.990275363333165,12,26,1,F0 · boosted,F0,scientific_F0_M4,33,6,0.3157894736842105,
16,16,scientific_F4_M5,39,0.8461538461538461,19.04296761751175,16,22,1,F4 · neural,F4,scientific_F4_M5,33,6,0.42105263157894735,
17,17,scientific_F6_M3,39,0.8461538461538461,19.100138732635635,14,24,1,F6 · tree,F6,scientific_F6_M3,33,6,0.3684210526315789,
18,18,scientific_F5_M2,39,0.8717948717948718,19.117488419333476,14,24,1,F5 · spline,F5,scientific_F5_M2,34,5,0.3684210526315789,
19,19,scientific_F1_M3,39,0.8717948717948718,19.16087213099479,12,26,1,F1 · tree,F1,scientific_F1_M3,34,5,0.3157894736842105,
20,20,scientific_F0_M5,39,0.8461538461538461,19.17263934856806,13,25,1,F0 · neural,F0,scientific_F0_M5,33,6,0.34210526315789475,
21,21,scientific_F1_M5,39,0.8205128205128205,19.19899366146479,10,28,1,F1 · neural,F1,scientific_F1_M5,32,7,0.2631578947368421,
22,22,scientific_F0_M3,39,0.7948717948717948,19.21183614999363,16,22,1,F0 · tree,F0,scientific_F0_M3,31,8,0.42105263157894735,
23,23,scientific_F5_M4,39,0.8461538461538461,19.272420942617455,15,23,1,F5 · boosted,F5,scientific_F5_M4,33,6,0.39473684210526316,
24,24,scientific_F2_M4,39,0.8717948717948718,19.2991540304365,11,27,1,F2 · boosted,F2,scientific_F2_M4,34,5,0.2894736842105263,
25,25,scientific_F2_M1,39,0.8717948717948718,19.323177132803668,11,27,1,F2 · linear,F2,scientific_F2_M1,34,5,0.2894736842105263,
26,26,scientific_F4_M10,39,0.8717948717948718,19.34008658159312,16,22,1,F4 · knn,F4,scientific_F4_M10,34,5,0.42105263157894735,
27,27,scientific_F4_M2,39,0.8461538461538461,19.366926604781494,12,26,1,F4 · spline,F4,scientific_F4_M2,33,6,0.3157894736842105,
28,28,scientific_F4_M3,39,0.8461538461538461,19.377165715229047,14,24,1,F4 · tree,F4,scientific_F4_M3,33,6,0.3684210526315789,
29,29,scientific_F3_M3,39,0.8461538461538461,19.396771328651425,14,24,1,F3 · tree,F3,scientific_F3_M3,33,6,0.3684210526315789,
30,30,scientific_F5_M5,39,0.8974358974358975,19.511112343042324,17,21,1,F5 · neural,F5,scientific_F5_M5,35,4,0.4473684210526316,
31,31,scientific_F2_M2,39,0.8461538461538461,19.512778783089225,11,27,1,F2 · spline,F2,scientific_F2_M2,33,6,0.2894736842105263,
32,32,scientific_F3_M2,39,0.8717948717948718,19.82176599086114,14,24,1,F3 · spline,F3,scientific_F3_M2,34,5,0.3684210526315789,
33,33,scientific_F2_M3,39,0.7692307692307693,20.018898684009432,12,26,1,F2 · tree,F2,scientific_F2_M3,30,9,0.3157894736842105,
34,34,scientific_F3_M10,39,0.7948717948717948,20.047929254767386,18,20,1,F3 · knn,F3,scientific_F3_M10,31,8,0.47368421052631576,
35,35,scientific_F4_M1,39,0.8717948717948718,20.188937443713357,14,24,1,F4 · linear,F4,scientific_F4_M1,34,5,0.3684210526315789,
36,36,scientific_F2_M5,39,0.8205128205128205,20.27711185430869,14,24,1,F2 · neural,F2,scientific_F2_M5,32,7,0.3684210526315789,
37,37,scientific_F5_M1,39,0.8717948717948718,20.34546184872177,13,25,1,F5 · linear,F5,scientific_F5_M1,34,5,0.34210526315789475,
38,38,scientific_F6_M1,39,0.8717948717948718,20.35692160149207,14,24,1,F6 · linear,F6,scientific_F6_M1,34,5,0.3684210526315789,
39,39,scientific_F1_M10,39,0.7692307692307693,20.884408898517037,10,28,1,F1 · knn,F1,scientific_F1_M10,30,9,0.2631578947368421,
40,40,scientific_F3_M1,39,0.8974358974358975,20.886719080225337,13,25,1,F3 · linear,F3,scientific_F3_M1,35,4,0.34210526315789475,
41,41,scientific_F3_M5,39,0.7435897435897436,21.579368948936462,13,25,1,F3 · neural,F3,scientific_F3_M5,29,10,0.34210526315789475,
42,42,scientific_F2_M10,39,0.7435897435897436,21.88301283858231,12,26,1,F2 · knn,F2,scientific_F2_M10,29,10,0.3157894736842105,
