game_id,season,week,game_start_time_utc,home_team,away_team,neutral_site,conference_game,season_type,pred_home_margin,pred_home_margin_median,pred_home_win_probability,model_count,model_agreement,pred_winner,predicted_margin,ap_rank_home,ap_rank_away
401862699,2026,1,2026-09-05T23:00:00.000Z,South Florida,Florida International,False,False,regular,11.755813060212265,11.528429961261407,0.6944003023005927,33,1.0,South Florida,11.755813060212265,,
401870763,2026,1,2026-09-05T23:00:00.000Z,Troy,Sam Houston,False,False,regular,13.981737919045138,12.728668067515972,0.7231364323798722,33,0.9696969696969697,Troy,13.981737919045138,,
401856660,2026,1,2026-09-05T23:30:00.000Z,LSU,Clemson,False,False,regular,1.4937672706752583,1.6971277800433855,0.524589109325855,33,0.7575757575757576,LSU,1.4937672706752583,,
401856662,2026,1,2026-09-05T23:30:00.000Z,Mississippi State,UL Monroe,False,False,regular,12.736881592435628,13.433509769629545,0.7035165278281136,33,0.9696969696969697,Mississippi State,12.736881592435628,,
401858428,2026,1,2026-09-05T23:30:00.000Z,Michigan,Western Michigan,False,False,regular,11.456612299453099,10.230733903401719,0.6784425907703143,33,1.0,Michigan,11.456612299453099,,
401856637,2026,1,2026-09-05T23:45:00.000Z,Florida,Florida Atlantic,False,False,regular,12.700794675875706,13.373108906582917,0.702212488524422,33,1.0,Florida,12.700794675875706,,
401864497,2026,1,2026-09-06T02:00:00.000Z,Hawai'i,UNLV,False,True,regular,-7.314088739486416,-7.091857092443948,0.3771478443231966,33,0.9696969696969697,UNLV,7.314088739486416,,
401864498,2026,1,2026-09-06T02:00:00.000Z,New Mexico,Central Michigan,False,False,regular,6.3675742428351905,5.823584316735483,0.6076417386888189,33,1.0,New Mexico,6.3675742428351905,,
401858210,2026,1,2026-09-06T02:30:00.000Z,California,UCLA,False,False,regular,3.5033554687532567,3.338823949613288,0.5615287817008798,33,0.9696969696969697,California,3.5033554687532567,,
401864432,2026,1,2026-09-06T02:30:00.000Z,Nevada,Western Kentucky,False,False,regular,-5.538896504881197,-5.715381219584415,0.40299052358318577,33,1.0,Western Kentucky,5.538896504881197,,
401858437,2026,1,2026-09-06T20:00:00.000Z,Washington,Washington State,False,False,regular,9.549624725891965,9.324674179924592,0.6608481483767817,33,1.0,Washington,9.549624725891965,,
401856661,2026,1,2026-09-06T23:30:00.000Z,Ole Miss,Louisville,True,False,regular,9.583594596057896,9.436117789764582,0.6603879258534943,33,1.0,Ole Miss,9.583594596057896,,
401858438,2026,1,2026-09-06T23:30:00.000Z,Notre Dame,Wisconsin,True,False,regular,18.32337160139828,18.96587375244752,0.778535706291391,33,1.0,Notre Dame,18.32337160139828,,
401858212,2026,1,2026-09-07T23:30:00.000Z,Florida State,SMU,False,True,regular,1.85190235267248,2.1114914417266846,0.5325829276589448,33,0.7575757575757576,Florida State,1.85190235267248,,
