poll_objective,keys_team,ballot_model,power_rating_vs_average,ballot_rank,poll_points,top25_vote,first_place_vote,model_id,model_level,model_family,objective,feature_config,fingerprint,checkpoint_sha256,training_end_season,selected_feature_count,calibration_status,calibrator_sha256
margin,Georgia,scientific_f0_m1,27.84987241532962,1,25,True,True,,,,,,,,,,,
margin,Texas,scientific_f0_m1,26.9974018939813,2,24,True,False,,,,,,,,,,,
margin,Oregon,scientific_f0_m1,26.958695124363327,3,23,True,False,,,,,,,,,,,
margin,Alabama,scientific_f0_m1,26.461036657846467,4,22,True,False,,,,,,,,,,,
margin,Ohio State,scientific_f0_m1,26.034340602295902,5,21,True,False,,,,,,,,,,,
margin,Notre Dame,scientific_f0_m1,25.51640716121725,6,20,True,False,,,,,,,,,,,
margin,Texas A&M,scientific_f0_m1,24.593435023779033,7,19,True,False,,,,,,,,,,,
margin,LSU,scientific_f0_m1,24.53629645910488,8,18,True,False,,,,,,,,,,,
margin,USC,scientific_f0_m1,23.02673244400374,9,17,True,False,,,,,,,,,,,
margin,Florida,scientific_f0_m1,22.66132210701498,10,16,True,False,,,,,,,,,,,
margin,Michigan,scientific_f0_m1,22.6129386449925,11,15,True,False,,,,,,,,,,,
margin,Miami,scientific_f0_m1,22.42493433541947,12,14,True,False,,,,,,,,,,,
margin,Tennessee,scientific_f0_m1,22.42309115591385,13,13,True,False,,,,,,,,,,,
margin,Ole Miss,scientific_f0_m1,22.414796848138568,14,12,True,False,,,,,,,,,,,
margin,South Carolina,scientific_f0_m1,21.36188055555429,15,11,True,False,,,,,,,,,,,
margin,Clemson,scientific_f0_m1,21.360958965801483,16,10,True,False,,,,,,,,,,,
margin,Oklahoma,scientific_f0_m1,20.821368165531815,17,9,True,False,,,,,,,,,,,
margin,Auburn,scientific_f0_m1,19.763843924183494,18,8,True,False,,,,,,,,,,,
margin,Missouri,scientific_f0_m1,18.850087684273372,19,7,True,False,,,,,,,,,,,
margin,Mississippi State,scientific_f0_m1,18.673603246610448,20,6,True,False,,,,,,,,,,,
margin,Florida State,scientific_f0_m1,18.474079065127302,21,5,True,False,,,,,,,,,,,
margin,Nebraska,scientific_f0_m1,17.88656559771157,22,4,True,False,,,,,,,,,,,
margin,Kentucky,scientific_f0_m1,17.849702007599205,23,3,True,False,,,,,,,,,,,
margin,Washington,scientific_f0_m1,17.434065029082348,24,2,True,False,,,,,,,,,,,
margin,UCLA,scientific_f0_m1,17.28753225838572,25,1,True,False,,,,,,,,,,,
margin,Penn State,scientific_f0_m1,17.268639668453133,26,0,False,False,,,,,,,,,,,
margin,Virginia Tech,scientific_f0_m1,17.041928589262124,27,0,False,False,,,,,,,,,,,
margin,North Carolina,scientific_f0_m1,16.98525081946437,28,0,False,False,,,,,,,,,,,
margin,Texas Tech,scientific_f0_m1,16.98525081946437,29,0,False,False,,,,,,,,,,,
margin,Wisconsin,scientific_f0_m1,16.975574127059872,30,0,False,False,,,,,,,,,,,
margin,SMU,scientific_f0_m1,16.829041356363245,31,0,False,False,,,,,,,,,,,
margin,NC State,scientific_f0_m1,16.489896327329532,32,0,False,False,,,,,,,,,,,
margin,California,scientific_f0_m1,16.249361401846382,33,0,False,False,,,,,,,,,,,
margin,Georgia Tech,scientific_f0_m1,16.236919940183462,34,0,False,False,,,,,,,,,,,
margin,Syracuse,scientific_f0_m1,15.958599834835148,35,0,False,False,,,,,,,,,,,
margin,Arkansas,scientific_f0_m1,15.952609501441888,36,0,False,False,,,,,,,,,,,
margin,Louisville,scientific_f0_m1,15.698711524543011,37,0,False,False,,,,,,,,,,,
margin,Indiana,scientific_f0_m1,15.481677137756492,38,0,False,False,,,,,,,,,,,
margin,Colorado,scientific_f0_m1,15.313947802745254,39,0,False,False,,,,,,,,,,,
margin,TCU,scientific_f0_m1,15.27570182800368,40,0,False,False,,,,,,,,,,,
margin,Minnesota,scientific_f0_m1,15.18354285272278,41,0,False,False,,,,,,,,,,,
margin,Vanderbilt,scientific_f0_m1,15.119031570026152,42,0,False,False,,,,,,,,,,,
margin,Baylor,scientific_f0_m1,14.9296448758239,43,0,False,False,,,,,,,,,,,
margin,Iowa,scientific_f0_m1,14.904301157621656,44,0,False,False,,,,,,,,,,,
margin,Arizona State,scientific_f0_m1,14.870663131644125,45,0,False,False,,,,,,,,,,,
margin,Maryland,scientific_f0_m1,14.761915540812666,46,0,False,False,,,,,,,,,,,
margin,Kansas State,scientific_f0_m1,14.717218437801428,47,0,False,False,,,,,,,,,,,
margin,Rutgers,scientific_f0_m1,14.273472971823896,48,0,False,False,,,,,,,,,,,
margin,West Virginia,scientific_f0_m1,14.207118509621651,49,0,False,False,,,,,,,,,,,
margin,Stanford,scientific_f0_m1,14.124636226745242,50,0,False,False,,,,,,,,,,,
margin,Illinois,scientific_f0_m1,14.041693148992433,51,0,False,False,,,,,,,,,,,
margin,South Florida,scientific_f0_m1,14.032477251464343,52,0,False,False,,,,,,,,,,,
margin,Virginia,scientific_f0_m1,13.865208711329508,53,0,False,False,,,,,,,,,,,
margin,Arizona,scientific_f0_m1,13.838021813621648,54,0,False,False,,,,,,,,,,,
margin,Purdue,scientific_f0_m1,13.779961659194683,55,0,False,False,,,,,,,,,,,
margin,UNLV,scientific_f0_m1,13.673978837621647,56,0,False,False,,,,,,,,,,,
margin,Houston,scientific_f0_m1,13.6693708888576,57,0,False,False,,,,,,,,,,,
margin,Utah,scientific_f0_m1,13.659694196453106,58,0,False,False,,,,,,,,,,,
margin,BYU,scientific_f0_m1,13.369393424318272,59,0,False,False,,,,,,,,,,,
margin,Northwestern,scientific_f0_m1,13.31870598791378,60,0,False,False,,,,,,,,,,,
margin,Michigan State,scientific_f0_m1,13.166643678700293,61,0,False,False,,,,,,,,,,,
margin,Kansas,scientific_f0_m1,13.143143140003666,62,0,False,False,,,,,,,,,,,
margin,Wake Forest,scientific_f0_m1,12.975413804992428,63,0,False,False,,,,,,,,,,,
margin,Pittsburgh,scientific_f0_m1,12.705848802295794,64,0,False,False,,,,,,,,,,,
margin,Oklahoma State,scientific_f0_m1,12.598483596093548,65,0,False,False,,,,,,,,,,,
margin,UCF,scientific_f0_m1,12.5731398778913,66,0,False,False,,,,,,,,,,,
margin,Memphis,scientific_f0_m1,12.488814415509275,67,0,False,False,,,,,,,,,,,
margin,Iowa State,scientific_f0_m1,12.453794004902534,68,0,False,False,,,,,,,,,,,
margin,Duke,scientific_f0_m1,12.40402815825085,69,0,False,False,,,,,,,,,,,
margin,Tulane,scientific_f0_m1,12.249201079778938,70,0,False,False,,,,,,,,,,,
margin,Boston College,scientific_f0_m1,12.013734897936239,71,0,False,False,,,,,,,,,,,
margin,UTSA,scientific_f0_m1,11.82112263959916,72,0,False,False,,,,,,,,,,,
margin,UConn,scientific_f0_m1,11.67090350989129,73,0,False,False,,,,,,,,,,,
margin,Boise State,scientific_f0_m1,11.146058145666569,74,0,False,False,,,,,,,,,,,
margin,Colorado State,scientific_f0_m1,11.10642978629578,75,0,False,False,,,,,,,,,,,
margin,Oregon State,scientific_f0_m1,10.898150502160949,76,0,False,False,,,,,,,,,,,
margin,Cincinnati,scientific_f0_m1,10.82857047582387,77,0,False,False,,,,,,,,,,,
margin,Georgia Southern,scientific_f0_m1,10.824423321936234,78,0,False,False,,,,,,,,,,,
margin,Liberty,scientific_f0_m1,10.785716552318252,79,0,False,False,,,,,,,,,,,
margin,Temple,scientific_f0_m1,10.68065532049803,80,0,False,False,,,,,,,,,,,
margin,Washington State,scientific_f0_m1,10.644713320138473,81,0,False,False,,,,,,,,,,,
margin,Texas State,scientific_f0_m1,10.392197727868808,82,0,False,False,,,,,,,,,,,
margin,East Carolina,scientific_f0_m1,10.34519665047555,83,0,False,False,,,,,,,,,,,
margin,Tulsa,scientific_f0_m1,10.301421137217126,84,0,False,False,,,,,,,,,,,
margin,App State,scientific_f0_m1,10.244743367419371,85,0,False,False,,,,,,,,,,,
margin,Miami (OH),scientific_f0_m1,10.233684290385664,86,0,False,False,,,,,,,,,,,
margin,Western Kentucky,scientific_f0_m1,9.779801337127232,87,0,False,False,,,,,,,,,,,
margin,Fresno State,scientific_f0_m1,9.698240644003636,88,0,False,False,,,,,,,,,,,
margin,San Diego State,scientific_f0_m1,9.6738185155542,89,0,False,False,,,,,,,,,,,
margin,Florida International,scientific_f0_m1,9.597326566071049,90,0,False,False,,,,,,,,,,,
margin,Arkansas State,scientific_f0_m1,9.535580052632849,91,0,False,False,,,,,,,,,,,
margin,UAB,scientific_f0_m1,9.533736873127229,92,0,False,False,,,,,,,,,,,
margin,Jacksonville State,scientific_f0_m1,9.379370589531726,93,0,False,False,,,,,,,,,,,
margin,Southern Miss,scientific_f0_m1,9.370154692003634,94,0,False,False,,,,,,,,,,,
margin,North Texas,scientific_f0_m1,9.344810973801389,95,0,False,False,,,,,,,,,,,
margin,Troy,scientific_f0_m1,9.07340279159914,96,0,False,False,,,,,,,,,,,
margin,Marshall,scientific_f0_m1,9.005205149891275,97,0,False,False,,,,,,,,,,,
margin,Florida Atlantic,scientific_f0_m1,8.942997841576666,98,0,False,False,,,,,,,,,,,
margin,Louisiana,scientific_f0_m1,8.83148548148678,99,0,False,False,,,,,,,,,,,
margin,Rice,scientific_f0_m1,8.783102019464302,100,0,False,False,,,,,,,,,,,
margin,James Madison,scientific_f0_m1,8.71029642899239,101,0,False,False,,,,,,,,,,,
margin,UTEP,scientific_f0_m1,8.592793735509247,102,0,False,False,,,,,,,,,,,
