ballot_rank,scientific_f0_m1,scientific_f0_m10,scientific_f0_m2,scientific_f0_m3,scientific_f0_m4,scientific_f0_m5,scientific_f1_m1,scientific_f1_m10,scientific_f1_m2,scientific_f1_m3,scientific_f1_m4,scientific_f1_m5,scientific_f2_m1,scientific_f2_m10,scientific_f2_m2,scientific_f2_m3,scientific_f2_m4,scientific_f2_m5,scientific_f3_m1,scientific_f3_m10,scientific_f3_m2,scientific_f3_m3,scientific_f3_m4,scientific_f3_m5,scientific_f4_m1,scientific_f4_m10,scientific_f4_m2,scientific_f4_m3,scientific_f4_m4,scientific_f4_m5,scientific_f5_m1,scientific_f5_m10,scientific_f5_m2,scientific_f5_m3,scientific_f5_m4,scientific_f5_m5,scientific_f6_m1,scientific_f6_m10,scientific_f6_m2,scientific_f6_m3,scientific_f6_m4,scientific_f6_m5
11,Miami,Florida,Miami,Rice,USC,Miami,Texas,USC,Texas,South Florida,Texas,Notre Dame,Ole Miss,Vanderbilt,Texas Tech,Vanderbilt,Alabama,Texas A&M,Boise State,TCU,Memphis,Texas A&M,Alabama,Texas,Boise State,Florida,Texas,Washington,Virginia,Texas,Alabama,Iowa,Georgia,Virginia,Texas Tech,LSU,Alabama,Nebraska,Clemson,Texas A&M,Texas A&M,Michigan
12,Tennessee,West Virginia,Tennessee,Notre Dame,Florida,Tennessee,Virginia,Wisconsin,Virginia,Texas A&M,Michigan,Oregon,Texas A&M,UNLV,Texas,South Florida,Texas,Utah,East Carolina,Michigan,Virginia,Virginia,Miami,Washington,Georgia,Texas A&M,Washington,James Madison,Washington,Indiana,Clemson,Oklahoma,Washington,Texas A&M,Virginia,Alabama,Boise State,Tennessee,Texas Tech,Texas,Virginia,Louisville
13,Ole Miss,Missouri,Ole Miss,Ole Miss,Michigan,Ole Miss,USC,Texas A&M,USC,USC,Tennessee,Texas Tech,Texas Tech,Oregon,Michigan,Washington,Virginia,Texas,LSU,Texas A&M,Washington,Washington,Clemson,Vanderbilt,USC,Eastern Michigan,Texas Tech,Texas A&M,Clemson,Arizona State,East Carolina,Florida,Texas Tech,Clemson,Texas A&M,Miami,Clemson,Virginia Tech,Texas A&M,Clemson,Texas,Boise State
14,USC,Syracuse,USC,LSU,Miami,South Carolina,Oklahoma,Ole Miss,Tennessee,Washington,Virginia,Indiana,Texas,Tennessee,Missouri,Alabama,Michigan,Florida State,Miami,Memphis,Texas Tech,Texas,Texas,Nebraska,East Carolina,Notre Dame,Oklahoma,Utah,LSU,Wake Forest,LSU,Notre Dame,Texas A&M,LSU,Texas,UNLV,East Carolina,Texas,Washington,Utah,Florida State,SMU
15,South Carolina,Oklahoma,South Carolina,Stanford,Ole Miss,Clemson,Tennessee,Arizona,Oklahoma,Texas,USC,Utah,Florida State,North Carolina,Vanderbilt,Utah,Utah,James Madison,Louisville,Notre Dame,Clemson,Clemson,Texas A&M,Ohio State,Texas,San Diego State,Michigan,Clemson,Texas,SMU,Texas,Virginia Tech,Virginia,Washington,Florida State,Washington,Texas,Iowa,Texas,Tennessee,Washington,Texas State
16,Clemson,Arkansas,Clemson,Tennessee,Tennessee,Oklahoma,Michigan,Eastern Michigan,Michigan,Tennessee,Utah,Georgia,Michigan,Toledo,Tennessee,Virginia,Tennessee,Tennessee,TCU,Old Dominion,Michigan,Oklahoma,Florida State,Georgia,LSU,Iowa,Memphis,Texas,Texas A&M,App State,Washington,Texas A&M,Texas,Texas,Clemson,Louisville,LSU,Florida State,Michigan,Washington,LSU,Texas A&M
17,Oklahoma,Auburn,Oklahoma,Georgia Tech,Auburn,Auburn,Utah,Sacramento State,North Carolina,LSU,LSU,Ole Miss,USC,Georgia Tech,Virginia,Tennessee,Vanderbilt,Georgia,Texas,Ole Miss,Texas A&M,James Madison,Michigan,Indiana,Louisville,Oklahoma,Virginia,Oklahoma,Florida State,Texas A&M,Texas A&M,Texas,LSU,Michigan,Michigan,Texas A&M,Memphis,Texas A&M,LSU,Virginia,Clemson,Texas
18,Auburn,Houston,Auburn,Miami,Oklahoma,USC,Missouri,North Carolina,Utah,Missouri,South Florida,Miami,UNLV,Hawai'i,Florida State,Texas,Missouri,Ole Miss,North Texas,Toledo,SMU,Utah,Washington,Navy,Texas A&M,Memphis,SMU,Virginia,Michigan,Missouri,North Carolina,Kansas State,Michigan,SMU,LSU,Fresno State,Washington,Alabama,SMU,Michigan,Tennessee,Pittsburgh
19,Missouri,Mississippi State,Missouri,USC,Missouri,Missouri,LSU,Oregon,Missouri,Arizona,Oklahoma,Alabama,TCU,North Texas,Oklahoma,North Texas,Oklahoma,Missouri,UNLV,Utah State,Penn State,SMU,North Texas,Ole Miss,Washington,Texas Tech,USC,Toledo,SMU,Michigan,North Texas,Penn State,SMU,Utah,SMU,East Carolina,Texas A&M,Miami,Oklahoma,James Madison,Michigan,Miami (OH)
20,Mississippi State,LSU,Mississippi State,Virginia,Arkansas,Mississippi State,Clemson,Iowa State,LSU,Utah,Washington,Vanderbilt,Oklahoma,South Florida,Utah,James Madison,Washington,SMU,Washington,South Florida,LSU,Vanderbilt,Memphis,Louisville,UNLV,Texas,Clemson,Michigan,James Madison,Louisville,Texas Tech,Alabama,Penn State,Tennessee,Toledo,SMU,Texas Tech,Indiana,Virginia,Florida State,Utah,Miami
21,Nebraska,Texas A&M,Nebraska,Maryland,Syracuse,Nebraska,Washington,Memphis,Clemson,Clemson,Florida State,Texas A&M,Missouri,TCU,Memphis,Missouri,Florida State,Oklahoma,USC,Georgia,North Texas,LSU,Auburn,Pittsburgh,TCU,Texas State,Florida State,SMU,Boise State,Texas State,Michigan,Indiana,Boise State,Oklahoma,Utah,Tennessee,Michigan,Utah,Penn State,SMU,Memphis,Iowa
22,Kentucky,Wisconsin,Kentucky,Arkansas,Kentucky,Kentucky,Florida State,Georgia Tech,Florida State,Oklahoma,Clemson,South Florida,Vanderbilt,Washington,Washington,Florida State,LSU,Washington,Eastern Michigan,Vanderbilt,Oklahoma,North Texas,Penn State,North Texas,Michigan,Minnesota,James Madison,Missouri,Toledo,NC State,SMU,Wisconsin,Oklahoma,Florida State,Tennessee,Duke,North Texas,Penn State,North Carolina,Oklahoma,Oklahoma,TCU
23,Washington,Arizona,Washington,Houston,Nebraska,Washington,Vanderbilt,James Madison,Vanderbilt,Auburn,Vanderbilt,Tennessee,Clemson,Florida State,Clemson,Oklahoma,USC,North Texas,Michigan,Arkansas,Florida State,Michigan,Louisville,Arizona State,SMU,Utah,LSU,Tennessee,Louisville,Clemson,Virginia,Missouri,James Madison,James Madison,Oklahoma,Kennesaw State,SMU,Oklahoma,Tennessee,Penn State,SMU,Illinois
24,UCLA,Maryland,UCLA,Utah,Mississippi State,UCLA,South Florida,Utah,Washington,BYU,Missouri,Washington,Virginia,Georgia,USC,BYU,Clemson,North Carolina,Texas Tech,Florida State,Auburn,Toledo,SMU,Texas A&M,North Texas,South Carolina,Penn State,Florida State,Auburn,Navy,Texas State,Miami,Florida State,Penn State,Penn State,South Florida,Virginia,Missouri,James Madison,Missouri,Auburn,Washington
25,Penn State,Virginia,Penn State,Louisville,TCU,Penn State,Iowa,Washington,Eastern Michigan,Michigan,North Dakota State,North Texas,Tennessee,James Madison,South Florida,Toledo,BYU,Georgia Tech,SMU,Air Force,USC,Missouri,James Madison,Boise State,Texas Tech,Tennessee,Tennessee,LSU,Oklahoma,Kansas State,Penn State,Florida State,Tennessee,Louisville,James Madison,Florida International,Texas State,Kansas State,Missouri,LSU,Penn State,Arizona
