ballot_rank,scientific_f0_m1,scientific_f0_m10,scientific_f0_m2,scientific_f0_m3,scientific_f0_m4,scientific_f0_m5,scientific_f1_m1,scientific_f1_m10,scientific_f1_m2,scientific_f1_m3,scientific_f1_m4,scientific_f1_m5,scientific_f2_m1,scientific_f2_m10,scientific_f2_m2,scientific_f2_m3,scientific_f2_m4,scientific_f2_m5,scientific_f3_m1,scientific_f3_m10,scientific_f3_m2,scientific_f3_m3,scientific_f3_m4,scientific_f3_m5,scientific_f4_m1,scientific_f4_m10,scientific_f4_m2,scientific_f4_m3,scientific_f4_m4,scientific_f4_m5,scientific_f5_m1,scientific_f5_m10,scientific_f5_m2,scientific_f5_m3,scientific_f5_m4,scientific_f5_m5,scientific_f6_m1,scientific_f6_m10,scientific_f6_m2,scientific_f6_m3,scientific_f6_m4,scientific_f6_m5
1,Georgia,Georgia,Georgia,Texas A&M,Georgia,Georgia,Ohio State,Texas Tech,Ohio State,Notre Dame,Oregon,Eastern Michigan,North Carolina,Virginia,Ohio State,Ohio State,Oregon,Vanderbilt,North Carolina,USC,Oregon,Oregon,Oregon,Notre Dame,Oregon,Michigan,Oregon,Ohio State,Ohio State,Memphis,Oregon,Ohio State,Oregon,Ohio State,Oregon,Notre Dame,Oregon,Ohio State,Oregon,Ohio State,Oregon,LSU
2,Texas,Oregon,Texas,Georgia,Alabama,Texas,Oregon,UNLV,Oregon,Ohio State,Notre Dame,North Carolina,Ohio State,USC,Oregon,Oregon,Ohio State,Notre Dame,Oregon,Ohio State,Notre Dame,Ohio State,Ohio State,Michigan,North Carolina,USC,Ohio State,Oregon,Oregon,Notre Dame,Ohio State,Georgia,Ohio State,Oregon,Notre Dame,Ohio State,Ohio State,Georgia,Ohio State,Oregon,Ohio State,Oregon
3,Oregon,Ohio State,Oregon,Florida,Oregon,Oregon,Notre Dame,Notre Dame,Notre Dame,Indiana,Ohio State,Memphis,Eastern Michigan,North Dakota State,Notre Dame,Notre Dame,Notre Dame,Ohio State,Ole Miss,North Dakota State,Indiana,USC,Notre Dame,LSU,Ohio State,Georgia,Notre Dame,Notre Dame,Notre Dame,TCU,Notre Dame,Clemson,Notre Dame,Notre Dame,Indiana,Tulane,Notre Dame,Clemson,Notre Dame,USC,USC,Virginia
4,Alabama,Texas,Alabama,Alabama,Texas,Alabama,Georgia,South Florida,Georgia,Oregon,Indiana,TCU,Oregon,Texas Tech,North Carolina,Indiana,Texas Tech,Indiana,Notre Dame,Virginia,North Carolina,Indiana,Indiana,Oregon,Notre Dame,North Dakota State,Indiana,USC,Indiana,Ohio State,Indiana,Oregon,Indiana,Indiana,Ohio State,Michigan,Ole Miss,Michigan,Indiana,Notre Dame,Notre Dame,Alabama
5,Ohio State,Alabama,Ohio State,Ohio State,Notre Dame,Ohio State,Texas Tech,Indiana,Texas Tech,Texas Tech,Georgia,Sacramento State,Notre Dame,Memphis,Georgia,Texas Tech,Indiana,Oregon,Indiana,Indiana,Alabama,Notre Dame,Virginia,Clemson,Indiana,Ohio State,Alabama,Indiana,Miami,UNLV,Ole Miss,Ole Miss,Ole Miss,USC,USC,Boise State,Indiana,Virginia,Ole Miss,Georgia,Indiana,Clemson
6,Notre Dame,Kentucky,Notre Dame,Arizona State,Ohio State,Notre Dame,Indiana,Texas,Indiana,Ole Miss,Texas Tech,UNLV,Memphis,Ohio State,Alabama,Miami,Georgia,Texas Tech,Ohio State,Eastern Michigan,Ole Miss,Georgia,Georgia,Memphis,Ole Miss,LSU,Ole Miss,Ole Miss,Ole Miss,Oklahoma,USC,LSU,USC,Georgia,Georgia,Oregon,USC,LSU,USC,Indiana,Georgia,Indiana
7,Texas A&M,USC,Texas A&M,Mississippi State,LSU,Texas A&M,Alabama,TCU,Alabama,Georgia,Alabama,Hawai'i,Georgia,Eastern Michigan,Indiana,Georgia,Miami,Miami,Alabama,Stanford,Ohio State,Miami,USC,Duke,Alabama,Virginia,Miami,Georgia,Georgia,Oregon,Miami,Tennessee,Louisville,Texas Tech,Alabama,Texas State,Georgia,Oregon,Georgia,Miami,Miami,Ohio State
8,LSU,Notre Dame,LSU,Syracuse,Texas A&M,LSU,Miami,Florida,Miami,Florida State,Texas A&M,NC State,Alabama,Notre Dame,Miami,Texas A&M,Texas A&M,Alabama,Memphis,Miami,Miami,Ole Miss,Ole Miss,Alabama,Clemson,Florida State,North Carolina,Texas Tech,Alabama,Alabama,Boise State,USC,Clemson,Miami,Ole Miss,Indiana,Miami,Ole Miss,Miami,Ole Miss,Ole Miss,USC
9,Florida,Michigan,Florida,Kentucky,Clemson,Florida,Texas A&M,Georgia,Texas A&M,Alabama,Miami,Jacksonville State,Indiana,Miami,Ole Miss,USC,South Florida,USC,Clemson,Texas Tech,Texas,Texas Tech,Texas Tech,UNLV,Memphis,Oregon,Georgia,Miami,USC,Texas Tech,Georgia,Virginia,Miami,Ole Miss,Miami,North Texas,North Carolina,Kentucky,Louisville,Texas Tech,Alabama,Vanderbilt
10,Michigan,TCU,Michigan,Missouri,South Carolina,Michigan,Ole Miss,Alabama,Ole Miss,Miami,Ole Miss,Ohio State,Miami,Indiana,Texas A&M,Ole Miss,Ole Miss,Michigan,Georgia,Oregon,Georgia,Alabama,LSU,SMU,Miami,Indiana,Texas A&M,Alabama,Texas Tech,Vanderbilt,Louisville,Michigan,Alabama,Alabama,Washington,Memphis,Louisville,USC,Alabama,Alabama,Texas Tech,Texas Tech
