scorecard_rank,model_name,games,straight_up_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes
1,scientific_F6_M5,8,0.875,8.617566555738449,7,1,0
2,scientific_F0_M1,8,0.625,10.057889959816688,4,4,0
3,scientific_F0_M5,8,0.5,10.278090137988329,4,4,0
4,scientific_F0_M3,8,0.75,10.391322581885776,5,3,0
5,scientific_F0_M2,8,0.625,10.612513782151067,4,4,0
6,scientific_F0_M4,8,0.5,10.966700632948465,4,4,0
7,scientific_F3_M5,8,0.875,11.349192261695862,4,4,0
8,scientific_F0_M10,8,0.875,11.450725585314796,6,2,0
9,scientific_F6_M10,8,0.625,11.615625,3,5,0
10,scientific_F2_M10,8,0.375,12.002439591638055,5,3,0
11,scientific_F1_M10,8,0.625,12.038306547964096,3,5,0
12,scientific_F3_M3,8,0.625,12.2308136658061,5,3,0
13,scientific_F3_M10,8,0.625,12.42396082783166,4,4,0
14,scientific_F5_M10,8,0.5,12.459375,4,4,0
15,scientific_F3_M1,8,0.625,12.557522412771709,4,4,0
16,scientific_F1_M1,8,0.5,12.915933215045104,5,3,0
17,scientific_F3_M2,8,0.5,12.992422448270418,5,3,0
18,scientific_F3_M4,8,0.5,13.002530232608011,4,4,0
19,scientific_F1_M4,8,0.625,13.018057632598405,5,3,0
20,scientific_F2_M1,8,0.625,13.038852049532755,5,3,0
21,scientific_F2_M3,8,0.5,13.081397761098827,4,4,0
22,scientific_F4_M3,8,0.5,13.187851834316067,4,4,0
23,scientific_F5_M2,8,0.5,13.23615445602751,3,5,0
24,scientific_F6_M3,8,0.5,13.237512632299538,3,5,0
25,scientific_F2_M4,8,0.75,13.246675093739938,5,3,0
26,scientific_F1_M3,8,0.5,13.276650160742223,5,3,0
27,scientific_F1_M5,8,0.625,13.351734220981598,4,4,0
28,scientific_F4_M10,8,0.5,13.461319941894859,4,4,0
29,scientific_F5_M5,8,0.625,13.566666930913925,5,3,0
30,scientific_F2_M5,8,0.625,13.618756979703903,5,3,0
31,scientific_F1_M2,8,0.625,13.777254206236325,5,3,0
32,scientific_F6_M4,8,0.375,13.8662399168573,3,5,0
33,scientific_F2_M2,8,0.625,14.08253044383184,5,3,0
34,scientific_F5_M3,8,0.5,14.100475088653038,4,4,0
35,scientific_F6_M2,8,0.625,14.231837798247149,2,6,0
36,scientific_F4_M2,8,0.5,14.354188619682935,4,4,0
37,scientific_F4_M5,8,0.5,14.39005771279335,4,4,0
38,scientific_F5_M4,8,0.5,14.448911883169853,4,4,0
39,scientific_F4_M4,8,0.5,14.523729444165632,4,4,0
40,scientific_F4_M1,8,0.5,14.5309134672337,3,5,0
41,scientific_F5_M1,8,0.5,14.593436125032804,3,5,0
42,scientific_F6_M1,8,0.5,14.818926610003933,3,5,0
