postgame_margin_rank,scorecard_rank,model_name,games,su_accuracy,margin_mae,ats_wins,ats_losses,ats_pushes,model_family,feature_config,model_id,su_wins,su_losses,ats_accuracy_excluding_pushes,brier_score
1,1,scientific_F6_M5,8,0.875,8.617566555738449,7,1,0,F6 · neural,F6,scientific_F6_M5,7,1,0.875,
2,2,scientific_F0_M1,8,0.625,10.057889959816688,4,4,0,F0 · linear,F0,scientific_F0_M1,5,3,0.5,
3,3,scientific_F0_M5,8,0.5,10.278090137988327,4,4,0,F0 · neural,F0,scientific_F0_M5,4,4,0.5,
4,4,scientific_F0_M3,8,0.75,10.391322581885776,5,3,0,F0 · tree,F0,scientific_F0_M3,6,2,0.625,
5,5,scientific_F0_M2,8,0.625,10.612513782151067,4,4,0,F0 · spline,F0,scientific_F0_M2,5,3,0.5,
6,6,scientific_F0_M4,8,0.5,10.966700632948465,4,4,0,F0 · boosted,F0,scientific_F0_M4,4,4,0.5,
7,7,scientific_F3_M5,8,0.875,11.349192261695862,4,4,0,F3 · neural,F3,scientific_F3_M5,7,1,0.5,
8,8,scientific_F0_M10,8,0.875,11.450725585314796,6,2,0,F0 · knn,F0,scientific_F0_M10,7,1,0.75,
9,9,scientific_F6_M10,8,0.625,11.615625,3,5,0,F6 · knn,F6,scientific_F6_M10,5,3,0.375,
10,10,scientific_F2_M10,8,0.375,12.002439591638057,5,3,0,F2 · knn,F2,scientific_F2_M10,3,5,0.625,
11,11,scientific_F1_M10,8,0.625,12.038306547964096,3,5,0,F1 · knn,F1,scientific_F1_M10,5,3,0.375,
12,12,scientific_F3_M3,8,0.625,12.2308136658061,5,3,0,F3 · tree,F3,scientific_F3_M3,5,3,0.625,
13,13,scientific_F3_M10,8,0.625,12.42396082783166,4,4,0,F3 · knn,F3,scientific_F3_M10,5,3,0.5,
14,14,scientific_F5_M10,8,0.5,12.459375,4,4,0,F5 · knn,F5,scientific_F5_M10,4,4,0.5,
15,15,scientific_F3_M1,8,0.625,12.557522412771709,4,4,0,F3 · linear,F3,scientific_F3_M1,5,3,0.5,
16,16,scientific_F1_M1,8,0.5,12.915933215045104,5,3,0,F1 · linear,F1,scientific_F1_M1,4,4,0.625,
17,17,scientific_F3_M2,8,0.5,12.992422448270418,5,3,0,F3 · spline,F3,scientific_F3_M2,4,4,0.625,
18,18,scientific_F3_M4,8,0.5,13.002530232608011,4,4,0,F3 · boosted,F3,scientific_F3_M4,4,4,0.5,
19,19,scientific_F1_M4,8,0.625,13.018057632598405,5,3,0,F1 · boosted,F1,scientific_F1_M4,5,3,0.625,
20,20,scientific_F2_M1,8,0.625,13.038852049532755,5,3,0,F2 · linear,F2,scientific_F2_M1,5,3,0.625,
21,21,scientific_F2_M3,8,0.5,13.081397761098827,4,4,0,F2 · tree,F2,scientific_F2_M3,4,4,0.5,
22,22,scientific_F4_M3,8,0.5,13.187851834316067,4,4,0,F4 · tree,F4,scientific_F4_M3,4,4,0.5,
23,23,scientific_F5_M2,8,0.5,13.23615445602751,3,5,0,F5 · spline,F5,scientific_F5_M2,4,4,0.375,
24,24,scientific_F6_M3,8,0.5,13.237512632299538,3,5,0,F6 · tree,F6,scientific_F6_M3,4,4,0.375,
25,25,scientific_F2_M4,8,0.75,13.246675093739938,5,3,0,F2 · boosted,F2,scientific_F2_M4,6,2,0.625,
26,26,scientific_F1_M3,8,0.5,13.276650160742223,5,3,0,F1 · tree,F1,scientific_F1_M3,4,4,0.625,
27,27,scientific_F1_M5,8,0.625,13.351734220981598,4,4,0,F1 · neural,F1,scientific_F1_M5,5,3,0.5,
28,28,scientific_F4_M10,8,0.5,13.46131994189486,4,4,0,F4 · knn,F4,scientific_F4_M10,4,4,0.5,
29,29,scientific_F5_M5,8,0.625,13.566666930913923,5,3,0,F5 · neural,F5,scientific_F5_M5,5,3,0.625,
30,30,scientific_F2_M5,8,0.625,13.618756979703903,5,3,0,F2 · neural,F2,scientific_F2_M5,5,3,0.625,
31,31,scientific_F1_M2,8,0.625,13.777254206236323,5,3,0,F1 · spline,F1,scientific_F1_M2,5,3,0.625,
32,32,scientific_F6_M4,8,0.375,13.8662399168573,3,5,0,F6 · boosted,F6,scientific_F6_M4,3,5,0.375,
33,33,scientific_F2_M2,8,0.625,14.08253044383184,5,3,0,F2 · spline,F2,scientific_F2_M2,5,3,0.625,
34,34,scientific_F5_M3,8,0.5,14.100475088653038,4,4,0,F5 · tree,F5,scientific_F5_M3,4,4,0.5,
35,35,scientific_F6_M2,8,0.625,14.231837798247147,2,6,0,F6 · spline,F6,scientific_F6_M2,5,3,0.25,
36,36,scientific_F4_M2,8,0.5,14.354188619682937,4,4,0,F4 · spline,F4,scientific_F4_M2,4,4,0.5,
37,37,scientific_F4_M5,8,0.5,14.39005771279335,4,4,0,F4 · neural,F4,scientific_F4_M5,4,4,0.5,
38,38,scientific_F5_M4,8,0.5,14.448911883169853,4,4,0,F5 · boosted,F5,scientific_F5_M4,4,4,0.5,
39,39,scientific_F4_M4,8,0.5,14.523729444165632,4,4,0,F4 · boosted,F4,scientific_F4_M4,4,4,0.5,
40,40,scientific_F4_M1,8,0.5,14.5309134672337,3,5,0,F4 · linear,F4,scientific_F4_M1,4,4,0.375,
41,41,scientific_F5_M1,8,0.5,14.593436125032804,3,5,0,F5 · linear,F5,scientific_F5_M1,4,4,0.375,
42,42,scientific_F6_M1,8,0.5,14.818926610003931,3,5,0,F6 · linear,F6,scientific_F6_M1,4,4,0.375,
