keys_team,poll_points,top25_votes,ballots_seen,best_ballot_rank
Missouri,140,22,42,10
SMU,137,21,42,10
Louisville,132,14,42,7
UNLV,129,9,42,2
TCU,127,11,42,3
Eastern Michigan,115,8,42,1
Boise State,107,9,42,5
South Florida,97,11,42,4
North Texas,76,13,42,9
James Madison,71,14,42,12
Kentucky,70,7,42,6
North Dakota State,69,4,42,3
East Carolina,58,5,42,12
Auburn,57,10,42,17
South Carolina,52,5,42,10
Penn State,47,15,42,19
Mississippi State,46,6,42,7
Nebraska,45,6,42,11
Texas State,43,6,42,7
Iowa,42,5,42,11
Toledo,38,7,42,16
Arizona State,36,3,42,6
Syracuse,35,3,42,8
Sacramento State,30,2,42,5
Stanford,30,2,42,7
Hawai'i,27,2,42,7
Virginia Tech,24,2,42,13
Arkansas,23,4,42,16
Georgia Tech,23,4,42,17
Duke,23,2,42,7
Tulane,23,1,42,3
Arizona,22,4,42,15
Wisconsin,22,3,42,12
NC State,22,2,42,8
Jacksonville State,17,1,42,9
Rice,15,1,42,11
West Virginia,14,1,42,12
Pittsburgh,13,2,42,18
Wake Forest,12,1,42,14
Houston,11,2,42,18
San Diego State,11,1,42,15
Kansas State,10,3,42,18
Navy,10,2,42,18
App State,10,1,42,16
Old Dominion,10,1,42,16
Fresno State,8,1,42,18
Maryland,7,2,42,21
Miami (OH),7,1,42,19
Utah State,7,1,42,19
UCLA,6,3,42,24
Iowa State,6,1,42,20
BYU,5,3,42,24
Minnesota,4,1,42,22
Illinois,3,1,42,23
Kennesaw State,3,1,42,23
Air Force,1,1,42,25
Florida International,1,1,42,25
