entry_name,game_id,season,week,game_start_time_utc,home_team,away_team,neutral_site,season_type,pred_home_margin,pred_winner,predicted_margin,model_count,raw_consensus_pred_home_margin,raw_consensus_pred_home_win_probability,submission_precision
TDNet corrected-F6 margin consensus,401858425,2026,1,2026-09-05T16:00:00.000Z,Indiana,North Texas,False,regular,13.780777820476082,Indiana,13.780777820476082,36,13.780777820476082,0.7186465696364166,full_float64
TDNet corrected-F6 margin consensus,401869960,2026,1,2026-09-05T16:00:00.000Z,James Madison,Liberty,False,regular,13.13724793992177,James Madison,13.13724793992177,36,13.13724793992177,0.7088873062490371,full_float64
TDNet corrected-F6 margin consensus,401858432,2026,1,2026-09-05T16:30:00.000Z,Ohio State,Ball State,False,regular,26.84465619359188,Ohio State,26.84465619359188,36,26.84465619359188,0.8473971343721751,full_float64
TDNet corrected-F6 margin consensus,401856665,2026,1,2026-09-05T16:45:00.000Z,South Carolina,Kent State,False,regular,14.885816182088085,South Carolina,14.885816182088085,36,14.885816182088085,0.7321487043086946,full_float64
TDNet corrected-F6 margin consensus,401870763,2026,1,2026-09-05T23:00:00.000Z,Troy,Sam Houston,False,regular,11.564253462864908,Troy,11.564253462864908,36,11.564253462864908,0.6900664915442428,full_float64
TDNet corrected-F6 margin consensus,401858209,2026,1,2026-09-05T19:30:00.000Z,Duke,Tulane,False,regular,3.2592899113780542,Duke,3.2592899113780542,36,3.2592899113780542,0.5554916301490662,full_float64
TDNet corrected-F6 margin consensus,401856777,2026,1,2026-09-05T19:30:00.000Z,Cincinnati,Boston College,False,regular,6.691583886955303,Cincinnati,6.691583886955303,36,6.691583886955303,0.6165729637097633,full_float64
TDNet corrected-F6 margin consensus,401856636,2026,1,2026-09-05T19:30:00.000Z,Auburn,Baylor,True,regular,7.359778643240651,Auburn,7.359778643240651,36,7.359778643240651,0.6242428517359203,full_float64
TDNet corrected-F6 margin consensus,401858434,2026,1,2026-09-05T19:30:00.000Z,Penn State,Marshall,False,regular,8.517867848663817,Penn State,8.517867848663817,36,8.517867848663817,0.644141787923847,full_float64
TDNet corrected-F6 margin consensus,401856772,2026,1,2026-09-05T19:45:00.000Z,Tulsa,Oklahoma State,False,regular,9.07319810321518,Tulsa,9.07319810321518,36,9.07319810321518,0.6535037793408122,full_float64
TDNet corrected-F6 margin consensus,401858426,2026,1,2026-09-05T20:15:00.000Z,Iowa,Northern Illinois,False,regular,19.427538029976777,Iowa,19.427538029976777,36,19.427538029976777,0.7830753897910011,full_float64
TDNet corrected-F6 margin consensus,401860878,2026,1,2026-09-05T22:00:00.000Z,Colorado State,Wyoming,False,regular,3.9913076112975108,Colorado State,3.9913076112975108,36,3.9913076112975108,0.5677244576264963,full_float64
TDNet corrected-F6 margin consensus,401862695,2026,1,2026-09-05T23:00:00.000Z,Memphis,Arkansas State,False,regular,8.79245224052587,Memphis,8.79245224052587,36,8.79245224052587,0.6474157947860788,full_float64
TDNet corrected-F6 margin consensus,401856668,2026,1,2026-09-05T23:00:00.000Z,Texas A&M,Missouri State,False,regular,18.49361380692826,Texas A&M,18.49361380692826,36,18.49361380692826,0.7733259802971704,full_float64
TDNet corrected-F6 margin consensus,401862699,2026,1,2026-09-05T23:00:00.000Z,South Florida,Florida International,False,regular,13.866309218258474,South Florida,13.866309218258474,36,13.866309218258474,0.7192325353502578,full_float64
TDNet corrected-F6 margin consensus,401856662,2026,1,2026-09-05T23:30:00.000Z,Mississippi State,UL Monroe,False,regular,12.79398154479862,Mississippi State,12.79398154479862,36,12.79398154479862,0.7020535959515464,full_float64
TDNet corrected-F6 margin consensus,401856660,2026,1,2026-09-05T23:30:00.000Z,LSU,Clemson,False,regular,3.096832901464024,LSU,3.096832901464024,36,3.096832901464024,0.5517570325219787,full_float64
TDNet corrected-F6 margin consensus,401858428,2026,1,2026-09-05T23:30:00.000Z,Michigan,Western Michigan,False,regular,14.351840457816657,Michigan,14.351840457816657,36,14.351840457816657,0.7236895925165514,full_float64
TDNet corrected-F6 margin consensus,401864498,2026,1,2026-09-06T02:00:00.000Z,New Mexico,Central Michigan,False,regular,6.086699011566953,New Mexico,6.086699011566953,36,6.086699011566953,0.6053249030238493,full_float64
TDNet corrected-F6 margin consensus,401864497,2026,1,2026-09-06T02:00:00.000Z,Hawai'i,UNLV,False,regular,-3.6736129882384074,UNLV,3.6736129882384074,36,-3.6736129882384074,0.438136037493371,full_float64
TDNet corrected-F6 margin consensus,401864432,2026,1,2026-09-06T02:30:00.000Z,Nevada,Western Kentucky,False,regular,-7.6342531310339705,Western Kentucky,7.6342531310339705,36,-7.6342531310339705,0.3691678031716145,full_float64
TDNet corrected-F6 margin consensus,401858210,2026,1,2026-09-06T02:30:00.000Z,California,UCLA,False,regular,6.271914374879258,California,6.271914374879258,36,6.271914374879258,0.6088810078225398,full_float64
TDNet corrected-F6 margin consensus,401858437,2026,1,2026-09-06T20:00:00.000Z,Washington,Washington State,False,regular,10.188578804872124,Washington,10.188578804872124,36,10.188578804872124,0.6701259765396136,full_float64
TDNet corrected-F6 margin consensus,401856661,2026,1,2026-09-06T23:30:00.000Z,Ole Miss,Louisville,True,regular,10.899986792192555,Ole Miss,10.899986792192555,36,10.899986792192555,0.6793530322712614,full_float64
TDNet corrected-F6 margin consensus,401858438,2026,1,2026-09-06T23:30:00.000Z,Wisconsin,Notre Dame,True,regular,-20.487936067256722,Notre Dame,20.487936067256722,36,-20.487936067256722,0.2049442160843078,full_float64
TDNet corrected-F6 margin consensus,401858212,2026,1,2026-09-07T23:30:00.000Z,Florida State,SMU,False,regular,3.3625075496964416,Florida State,3.3625075496964416,36,3.3625075496964416,0.558895948712513,full_float64
TDNet corrected-F6 margin consensus,401856679,2026,2,2026-09-12T16:00:00.000Z,Michigan,Oklahoma,False,regular,8.987017886130904,Michigan,8.987017886130904,36,8.987017886130904,0.6504855216110889,full_float64
TDNet corrected-F6 margin consensus,401856682,2026,2,2026-09-12T23:30:00.000Z,Texas,Ohio State,False,regular,6.0412685844273915,Texas,6.0412685844273915,36,6.0412685844273915,0.603990421623694,full_float64
